Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,1,1.0,2.0,8.0,2430,215040,4483772.3,100.0,1757930.3,100.0,913,122
Unidentified,1,1.0,1.0,4.0,2430,98175,1431369.6,31.9,532703.7,30.3,795,113
VASP,1,1.0,1.0,4.0,1169,33050,642009.3,14.3,246347.5,14.0,146,16
Met Office UM,1,21.0,21.0,21.0,196,26885,357834.7,8.0,141112.3,8.0,21,4
LAMMPS,1,1.0,2.0,8.0,1024,4148,273709.8,6.1,136996.6,7.8,40,16
CP2K,1,1.0,1.0,8.0,64,9159,200555.6,4.5,70722.2,4.0,43,8
Python,1,1.0,1.0,2.0,450,2985,194280.2,4.3,71835.8,4.1,48,22
GROMACS,1,2.0,4.0,4.0,32,3185,178369.6,4.0,81038.8,4.6,41,6
Nektar++,1,8.0,24.0,32.0,128,1247,175516.0,3.9,65255.8,3.7,15,4
SENGA,1,1.0,4.0,32.0,128,623,148175.0,3.3,75075.0,4.3,8,5
OpenFOAM,1,1.0,4.0,5.0,200,1732,126127.1,2.8,48608.2,2.8,39,12
CASTEP,1,1.0,1.0,2.0,200,4292,107023.7,2.4,37124.8,2.1,51,6
VAMPIRE,1,4.0,4.0,4.0,24,1754,71762.2,1.6,35988.0,2.0,11,4
MITgcm,1,2.0,2.0,2.0,15,6423,57172.0,1.3,22231.1,1.3,13,3
iIMB,14,18.0,18.0,18.0,50,159,56382.6,1.3,22994.3,1.3,2,2
FHI aims,1,2.0,2.0,4.0,32,5298,55203.1,1.2,22073.7,1.3,24,4
Xcompact3d,5,8.0,8.0,16.0,256,485,46807.7,1.0,16260.5,0.9,5,5
SBLI,2,10.0,32.0,500.0,1024,49,40072.3,0.9,13499.7,0.8,4,3
OpenSBLI,10,10.0,66.0,500.0,1024,48,40072.3,0.9,13499.7,0.8,3,2
ChemShell,1,2.0,4.0,8.0,15,301,28135.8,0.6,10528.9,0.6,7,1
CESM,1,4.0,6.0,12.0,120,399,27404.4,0.6,9473.4,0.5,11,1
a.out,1,2.0,16.0,16.0,80,1003,25583.1,0.6,9167.3,0.5,11,6
NEMO,1,1.0,9.0,10.0,137,1568,24831.1,0.6,8435.0,0.5,21,2
Quantum Espresso,1,1.0,1.0,1.0,64,7188,24546.8,0.5,9528.3,0.5,39,8
BOUT++,6,6.0,14.0,14.0,14,115,21305.4,0.5,7958.2,0.5,1,1
EDAMAME,1,11.0,32.5,54.0,211,62,21060.2,0.5,7319.1,0.4,2,1
WRF,1,3.0,3.0,3.0,4,236,20330.3,0.5,7977.4,0.5,5,4
Code_Saturne,1,8.0,32.0,64.0,512,180,19116.6,0.4,7322.4,0.4,6,4
SIESTA,1,1.0,1.0,18.0,28,148,10355.0,0.2,4133.2,0.2,4,3
Smilei,1,4.0,5.0,6.0,64,269,10047.4,0.2,3109.7,0.2,4,1
PeleLMeX,4,4.0,4.0,4.0,4,185,8955.2,0.2,2682.9,0.2,2,1
NAMD,1,2.0,2.0,4.0,5,457,8905.9,0.2,4556.7,0.3,6,3
GENE,1,1.0,1.0,1.0,80,302,7265.9,0.2,3012.0,0.2,10,2
EPOCH,1,10.0,10.0,15.0,32,149,7102.4,0.2,2741.6,0.2,4,1
NWChem,1,1.0,1.0,2.0,4,630,6942.0,0.2,2546.7,0.1,9,4
RMT,2,5.0,5.0,5.0,80,393,6034.0,0.1,1939.4,0.1,5,1
TPLS,2,4.0,4.0,16.0,32,72,5889.0,0.1,2195.5,0.1,3,1
FVCOM,1,2.0,10.0,33.0,1024,213,5488.5,0.1,1331.2,0.1,3,1
Hydro3D,1,2.0,2.0,112.0,804,81,5305.8,0.1,1789.7,0.1,3,2
HYDRA,2,2.0,4.0,10.0,40,75,5124.9,0.1,1729.0,0.1,6,3
ONETEP,1,4.0,6.0,8.0,32,180,4679.2,0.1,1562.5,0.1,4,1
CASINO,4,4.0,8.0,8.0,8,34,4368.7,0.1,1748.2,0.1,1,1
FDS,2,3.0,3.0,3.0,3,58,3476.9,0.1,1813.1,0.1,1,1
GS2,4,4.0,4.0,4.0,5,119,3262.6,0.1,1325.4,0.1,2,1
PDNS3D,8,8.0,8.0,8.0,128,39,1737.1,0.0,730.7,0.0,2,1
ptau3d,5,10.0,10.0,15.0,20,11,1458.9,0.0,467.7,0.0,1,1
CRYSTAL,1,1.0,1.0,1.0,6,333,1390.9,0.0,509.1,0.0,8,3
Nek5000,1,1.0,1.0,4.0,8,14,402.1,0.0,169.8,0.0,1,1
OSIRIS,1,2.0,4.0,16.0,32,17,347.6,0.0,93.8,0.0,1,1
DL_MESO,1,2.0,2.0,2.0,4,29,313.2,0.0,87.4,0.0,1,1
Arm Forge,1,1.0,1.0,1.0,10,286,125.2,0.0,34.2,0.0,12,10
DL_POLY,1,1.0,1.0,1.0,1,31,44.1,0.0,18.3,0.0,1,1
AxiSEM3D,2,2.0,2.0,2.0,2,48,27.9,0.0,12.2,0.0,1,1
Amber,1,1.0,1.0,1.0,24,19,25.2,0.0,8.0,0.0,2,2
ludwig,1,1.0,1.0,1.0,1,133,7.3,0.0,2.5,0.0,3,2
HemeLB,1,2.0,2.0,2.0,2,9,4.6,0.0,1.9,0.0,1,1
ABINIT,2,2.0,2.0,2.0,2,2,0.7,0.0,0.3,0.0,1,1
GPAW,8,8.0,8.0,8.0,8,1,0.1,0.0,0.0,0.0,1,1
FEniCS,1,1.0,1.0,1.0,1,2,0.0,0.0,0.0,0.0,1,1
