Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,0,8.0,24.0,64.0,4096,257537,4216459.9,100.0,1513457.1,100.0,808,116
Unidentified,0,12.0,32.0,96.0,4096,170487,1265585.9,30.0,442828.9,29.3,689,109
VASP,1,4.0,10.0,22.0,608,32444,757644.8,18.0,279514.5,18.5,141,10
GROMACS,1,9.0,40.0,486.0,1584,2601,334597.1,7.9,127447.1,8.4,40,6
CP2K,1,6.0,16.0,32.0,96,9942,316436.8,7.5,111472.2,7.4,57,11
CASTEP,1,8.0,14.0,64.0,275,6459,233528.8,5.5,73662.1,4.9,53,7
Python,1,128.0,128.0,128.0,512,4749,214025.3,5.1,78497.1,5.2,54,25
LAMMPS,1,3.0,11.0,28.0,1024,9462,143986.6,3.4,56869.4,3.8,55,18
Quantum Espresso,1,8.0,64.0,64.0,64,3258,127110.6,3.0,48650.1,3.2,22,6
CRYSTAL,1,4.0,4.0,8.0,1024,2043,99480.3,2.4,35746.1,2.4,11,3
Xcompact3d,1,24.0,64.0,128.0,512,384,94588.5,2.2,36984.1,2.4,11,6
OpenFOAM,1,4.0,4.0,24.0,50,1309,67838.6,1.6,26310.5,1.7,36,17
ONETEP,1,8.0,30.0,30.0,35,437,65770.6,1.6,20368.5,1.3,8,1
ChemShell,1,8.0,8.0,12.0,12,411,60568.2,1.4,23023.3,1.5,5,1
3DNS,1,121.0,206.0,239.0,393,113,56710.3,1.3,19899.1,1.3,3,1
FHI aims,1,16.0,64.0,64.0,256,1028,48183.0,1.1,14557.2,1.0,16,3
NEMO,1,68.0,77.0,77.0,87,1554,37927.8,0.9,12567.4,0.8,25,4
Nektar++,1,42.0,48.0,56.0,200,397,36273.7,0.9,14093.1,0.9,2,1
Code_Saturne,1,70.0,70.0,512.0,1024,296,34590.2,0.8,12264.8,0.8,6,3
a.out,1,16.0,64.0,128.0,128,1221,33720.0,0.8,11645.0,0.8,9,6
HANDE,1,20.0,40.0,40.0,60,70,27330.8,0.6,6874.5,0.5,1,1
MITgcm,1,1.0,2.0,9.0,14,2296,25176.9,0.6,11112.4,0.7,10,2
iIMB,3,18.0,24.0,24.0,448,206,22679.3,0.5,8679.6,0.6,2,1
Met Office UM,1,18.0,148.0,148.0,232,1875,20507.6,0.5,6318.1,0.4,22,4
ptau3d,1,30.0,120.0,140.0,256,90,14180.6,0.3,3940.4,0.3,2,1
SENGA,1,71.0,71.0,288.0,288,66,13585.2,0.3,6204.5,0.4,6,3
EPOCH,1,18.0,18.0,18.0,256,312,13092.6,0.3,4821.4,0.3,9,3
NWChem,1,2.0,2.0,2.0,8,379,12049.3,0.3,4334.7,0.3,8,4
Nek5000,1,40.0,50.0,50.0,256,50,10079.4,0.2,3964.1,0.3,4,3
HYDRA,1,20.0,20.0,20.0,20,211,5504.4,0.1,1950.0,0.1,6,4
NAMD,4,4.0,4.0,4.0,24,299,5229.9,0.1,2237.2,0.1,4,2
GS2,1,2.0,2.0,32.0,256,1294,5181.2,0.1,1987.4,0.1,3,1
Smilei,1,64.0,64.0,128.0,128,356,3851.2,0.1,967.1,0.1,3,1
SIESTA,1,12.0,12.0,12.0,12,245,3768.4,0.1,1384.4,0.1,5,2
PDNS3D,128,128.0,160.0,160.0,160,11,1901.5,0.0,681.3,0.0,1,1
HemeLB,1,6.0,16.0,16.0,32,58,1356.9,0.0,708.5,0.0,1,1
GPAW,1,1.0,1.0,1.0,1,267,700.9,0.0,237.0,0.0,2,1
CESM,1,1.0,2.0,4.0,25,139,506.9,0.0,169.6,0.0,5,2
CASINO,8,8.0,8.0,8.0,8,2,345.4,0.0,169.1,0.0,2,2
RMT,1,11.0,25.0,25.0,25,58,266.1,0.0,88.3,0.0,5,3
EDAMAME,1,3.0,11.0,11.0,11,93,241.8,0.0,93.9,0.0,1,1
TPLS,1,4.0,4.0,4.0,9,34,209.7,0.0,85.3,0.0,2,2
WRF,1,1.0,1.0,1.0,4,21,62.7,0.0,21.1,0.0,3,3
SBLI,1,1.0,1.0,4.0,4,353,52.1,0.0,16.8,0.0,4,2
Arm Forge,1,1.0,1.0,2.0,4,104,11.7,0.0,3.2,0.0,9,7
AxiSEM3D,1,1.0,1.0,1.0,1,4,11.5,0.0,3.6,0.0,1,1
DL_POLY,1,1.0,1.0,1.0,4,39,8.8,0.0,2.9,0.0,1,1
FVCOM,1,1.0,1.0,1.0,1,8,0.3,0.0,0.1,0.0,1,1
OSIRIS,1,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,1,1
CloverLeaf,1,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,1,1
