Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,0.0,8.0,24.0,64.0,2048.0,199161,1601069.4,100.0,591105.3,100.0,635,102
Unidentified,0.0,16.0,35.0,80.0,2048.0,163829,618722.3,38.6,220441.1,37.3,503,93
VASP,1.0,4.0,10.0,20.0,384.0,8378,235685.6,14.7,89930.3,15.2,103,13
Met Office UM,3.0,16.0,50.0,196.0,196.0,7007,102990.2,6.4,36418.3,6.2,19,3
LAMMPS,1.0,8.0,16.0,50.0,1024.0,2237,96568.5,6.0,42558.0,7.2,32,13
CP2K,1.0,4.0,8.0,16.0,128.0,5131,76898.9,4.8,26502.8,4.5,38,9
GROMACS,1.0,12.0,25.0,32.0,64.0,2012,68791.7,4.3,31028.4,5.2,27,4
Nektar++,1.0,30.0,42.0,60.0,256.0,254,47368.4,3.0,15555.3,2.6,9,2
OpenFOAM,1.0,4.0,15.0,68.0,100.0,564,42157.7,2.6,16160.2,2.7,24,10
Python,1.0,20.0,128.0,360.0,512.0,1879,38486.6,2.4,12468.5,2.1,30,17
CASTEP,1.0,3.0,16.0,50.0,80.0,1439,36985.1,2.3,12470.2,2.1,34,8
Code_Saturne,1.0,24.0,256.0,256.0,256.0,66,29837.2,1.9,10674.3,1.8,6,4
GS2,1.0,8.0,8.0,8.0,24.0,841,19925.2,1.2,7972.4,1.3,5,2
SENGA,1.0,40.0,128.0,128.0,128.0,116,17592.6,1.1,9599.1,1.6,4,3
Hydro3D,2.0,250.0,250.0,250.0,250.0,14,16910.9,1.1,5939.0,1.0,4,2
FHI aims,1.0,4.0,8.0,16.0,32.0,653,15403.2,1.0,6129.6,1.0,18,5
NEMO,2.0,12.0,50.0,68.0,87.0,314,14342.2,0.9,4901.6,0.8,15,2
iIMB,1.0,16.0,84.0,84.0,84.0,683,12584.9,0.8,3943.3,0.7,3,2
Quantum Espresso,1.0,3.0,4.0,16.0,128.0,849,12150.1,0.8,4621.6,0.8,12,4
BOUT++,6.0,14.0,14.0,14.0,14.0,54,10378.0,0.6,3792.5,0.6,1,1
PeleLMeX,4.0,8.0,16.0,32.0,32.0,33,8874.5,0.6,528.5,0.1,2,1
GENE,1.0,32.0,32.0,32.0,48.0,367,8325.2,0.5,3565.9,0.6,10,2
ONETEP,1.0,8.0,8.0,8.0,32.0,107,7696.0,0.5,3284.3,0.6,6,1
MITgcm,1.0,1.0,2.0,2.0,3.0,380,7420.6,0.5,2649.8,0.4,10,3
RMT,2.0,19.0,19.0,24.0,34.0,115,7321.4,0.5,2569.5,0.4,4,1
SIESTA,1.0,18.0,18.0,18.0,18.0,289,7115.4,0.4,2306.4,0.4,1,1
WRF,1.0,3.0,3.0,3.0,3.0,130,6717.2,0.4,2692.0,0.5,4,2
HYDRA,1.0,3.0,3.0,12.0,16.0,255,5610.3,0.4,1809.4,0.3,8,6
EDAMAME,11.0,11.0,11.0,11.0,123.0,52,4876.4,0.3,1810.7,0.3,2,1
EPOCH,1.0,30.0,30.0,30.0,32.0,45,4364.7,0.3,1771.7,0.3,5,1
Xcompact3d,1.0,12.0,12.0,12.0,32.0,43,3210.1,0.2,1196.7,0.2,5,3
CESM,1.0,10.0,10.0,10.0,10.0,98,2823.3,0.2,1071.3,0.2,8,2
ChemShell,1.0,4.0,4.0,4.0,20.0,71,2148.9,0.1,778.1,0.1,4,2
a.out,1.0,2.0,16.0,32.0,32.0,184,1924.0,0.1,645.3,0.1,6,4
VAMPIRE,1.0,8.0,8.0,8.0,16.0,93,1770.1,0.1,663.1,0.1,5,3
SBLI,1.0,64.0,64.0,64.0,1024.0,72,1456.2,0.1,557.0,0.1,4,3
OpenSBLI,32.0,64.0,64.0,64.0,1024.0,4,1455.1,0.1,556.6,0.1,2,2
NWChem,1.0,1.0,1.0,2.0,4.0,144,1418.9,0.1,418.8,0.1,7,3
FDS,2.0,2.0,2.0,2.0,2.0,20,952.6,0.1,528.4,0.1,1,1
ECOGEN,32.0,32.0,32.0,32.0,32.0,2,777.1,0.0,271.9,0.0,1,1
SU2,1.0,2.0,2.0,4.0,10.0,23,727.1,0.0,277.9,0.0,3,1
Amber,1.0,12.0,12.0,12.0,12.0,57,658.5,0.0,222.7,0.0,2,1
Smilei,4.0,4.0,4.0,4.0,4.0,71,622.5,0.0,211.9,0.0,2,1
DL_MESO,2.0,2.0,2.0,2.0,2.0,10,204.0,0.0,60.1,0.0,1,1
CASINO,1.0,10.0,10.0,10.0,10.0,20,125.2,0.0,41.1,0.0,1,1
AxiSEM3D,1.0,2.0,2.0,2.0,2.0,95,74.2,0.0,30.7,0.0,1,1
HemeLB,1.0,18.0,18.0,18.0,50.0,18,32.9,0.0,16.6,0.0,1,1
NAMD,1.0,4.0,4.0,4.0,4.0,4,25.1,0.0,13.2,0.0,2,2
Arm Forge,1.0,10.0,10.0,10.0,20.0,27,10.2,0.0,2.8,0.0,5,5
CRYSTAL,1.0,1.0,1.0,1.0,1.0,7,7.1,0.0,2.7,0.0,2,2
FEniCS,2.0,2.0,2.0,2.0,2.0,1,0.2,0.0,0.1,0.0,1,1
TPLS,1.0,1.0,1.0,1.0,1.0,8,0.1,0.0,0.0,0.0,1,1
