Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,0,1.0,2.0,8.0,2430,264927,4536991.6,100.0,1715224.9,100.0,975,127
Unidentified,0,1.0,1.0,4.0,2430,115563,1440437.2,31.7,519658.3,30.3,836,121
VASP,1,1.0,1.0,4.0,1169,31716,803714.5,17.7,304366.6,17.7,152,17
GROMACS,1,2.0,4.0,12.0,500,6771,364734.3,8.0,169561.7,9.9,115,6
Met Office UM,1,21.0,21.0,21.0,196,34187,276427.7,6.1,101741.4,5.9,22,4
Python,1,1.0,1.0,8.0,200,4369,187569.1,4.1,66083.9,3.9,53,23
LAMMPS,1,1.0,1.0,1.0,1024,25363,176758.8,3.9,81451.6,4.7,44,18
CP2K,1,1.0,4.0,8.0,40,4744,166997.0,3.7,59455.7,3.5,48,11
OpenFOAM,1,2.0,4.0,5.0,160,1790,147262.0,3.2,54698.5,3.2,41,16
CASTEP,1,1.0,1.0,3.0,200,6827,125214.7,2.8,41476.1,2.4,46,8
Nektar++,1,1.0,8.0,30.0,85,812,114045.2,2.5,43154.9,2.5,14,4
MITgcm,1,2.0,2.0,2.0,24,8072,64800.9,1.4,27718.4,1.6,13,3
Xcompact3d,1,15.0,16.0,16.0,256,772,56108.1,1.2,19758.8,1.2,7,4
SENGA,1,1.0,32.0,32.0,40,177,55164.5,1.2,23718.2,1.4,5,3
FHI aims,1,1.0,2.0,4.0,32,4537,53388.4,1.2,21382.1,1.2,21,4
NEMO,1,9.0,10.0,18.0,135,1201,46110.9,1.0,13700.5,0.8,19,4
SBLI,1,2.0,2.0,4.0,1024,121,40901.0,0.9,10013.1,0.6,5,3
OpenSBLI,1,1.0,1.0,500.0,1024,27,40657.5,0.9,9919.9,0.6,3,2
iIMB,14,18.0,18.0,18.0,50,93,40096.2,0.9,16028.0,0.9,2,2
Hydro3D,1,5.0,6.0,16.0,501,246,32901.6,0.7,11936.0,0.7,4,3
Quantum Espresso,1,1.0,1.0,2.0,16,9589,30894.2,0.7,12541.6,0.7,46,10
Code_Saturne,1,6.0,16.0,32.0,80,173,30152.7,0.7,11425.1,0.7,7,4
ChemShell,1,2.0,4.0,8.0,10,222,29886.6,0.7,10398.0,0.6,6,1
CESM,1,1.0,6.0,6.0,30,563,29573.7,0.7,11310.8,0.7,10,1
NAMD,1,16.0,16.0,16.0,128,1332,23658.5,0.5,11964.4,0.7,3,2
VAMPIRE,1,1.0,4.0,4.0,16,866,22614.7,0.5,9943.6,0.6,5,2
GENE,1,1.0,1.0,10.0,80,166,18120.6,0.4,7512.1,0.4,13,4
BOUT++,6,6.0,14.0,14.0,14,97,17053.1,0.4,6206.4,0.4,1,1
CASINO,1,4.0,4.0,8.0,8,197,14585.5,0.3,5643.6,0.3,1,1
EDAMAME,54,54.0,54.0,54.0,54,22,14106.9,0.3,4814.5,0.3,1,1
Smilei,1,4.0,4.0,10.0,32,513,12202.5,0.3,3474.3,0.2,6,1
GS2,10,20.0,20.0,20.0,20,79,11154.3,0.2,2935.5,0.2,2,1
HYDRA,1,2.0,2.0,2.0,80,146,9075.4,0.2,2999.1,0.2,4,2
ONETEP,1,1.0,6.0,12.0,84,210,8854.2,0.2,2894.5,0.2,5,1
EPOCH,1,4.0,4.0,10.0,32,390,8581.5,0.2,3225.3,0.2,7,2
TPLS,1,1.0,1.0,16.0,32,45,8177.7,0.2,3033.0,0.2,2,1
PDNS3D,8,8.0,8.0,16.0,128,133,8007.5,0.2,3313.1,0.2,2,1
NWChem,1,1.0,2.0,2.0,20,390,7377.0,0.2,2107.0,0.1,10,5
RMT,3,5.0,5.0,10.0,15,349,6535.3,0.1,2064.6,0.1,5,1
CRYSTAL,1,1.0,1.0,20.0,40,57,6088.8,0.1,1942.4,0.1,5,3
a.out,1,1.0,1.0,16.0,32,640,5462.4,0.1,2060.2,0.1,14,8
Nek5000,1,4.0,6.0,8.0,32,43,4657.3,0.1,1627.1,0.1,4,3
PeleLMeX,1,4.0,4.0,4.0,8,63,4645.5,0.1,1454.4,0.1,3,1
SIESTA,1,1.0,2.0,3.0,18,503,4388.8,0.1,1619.1,0.1,3,2
WRF,1,3.0,3.0,3.0,6,84,3463.7,0.1,1263.4,0.1,3,2
Amber,1,1.0,16.0,16.0,24,19,3181.6,0.1,836.3,0.0,1,1
DL_POLY,1,1.0,1.0,1.0,9,177,1010.3,0.0,389.3,0.0,2,2
FVCOM,1,1.0,1.0,1.2,4,32,234.5,0.0,91.4,0.0,3,1
OSIRIS,2,2.0,2.0,16.0,16,8,173.6,0.0,63.8,0.0,1,1
CPMD,1,1.0,1.0,1.0,2,23,136.6,0.0,53.4,0.0,1,1
PRECISE,1,2.0,2.0,2.0,2,13,85.7,0.0,41.5,0.0,1,1
AxiSEM3D,2,2.0,2.0,2.0,2,123,77.6,0.0,33.0,0.0,1,1
ludwig,1,1.0,1.0,1.0,8,22,46.7,0.0,15.0,0.0,1,1
Arm Forge,1,1.0,1.0,1.0,10,130,38.2,0.0,7.5,0.0,15,11
HemeLB,1,36.0,36.0,36.0,36,80,20.2,0.0,5.5,0.0,2,2
ptau3d,1,1.0,2.0,8.0,20,60,13.4,0.0,4.0,0.0,2,2
DL_MESO,4,4.0,4.0,4.0,4,1,11.6,0.0,3.1,0.0,1,1
ABINIT,1,1.0,1.0,1.0,1,6,10.9,0.0,4.4,0.0,1,1
