Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,1,1.0,3.0,4.0,2710,243546,4227819.1,100.0,1579670.0,100.0,846,115
Unidentified,1,1.0,2.0,4.0,2710,98780,1487511.1,35.2,521503.1,33.0,740,105
VASP,1,1.0,4.0,8.0,512,23537,744211.8,17.6,277763.5,17.6,150,16
Nektar++,1,6.0,30.0,50.0,1024,659,208152.5,4.9,75010.0,4.7,13,4
LAMMPS,1,1.0,1.0,10.0,1024,8780,203636.9,4.8,78125.1,4.9,48,17
GROMACS,1,4.0,4.0,4.0,96,40184,190501.6,4.5,87677.1,5.6,45,5
SENGA,1,64.0,262.0,262.0,262,67,187407.5,4.4,98985.0,6.3,6,3
CP2K,1,1.0,1.0,4.0,128,10963,182800.3,4.3,63745.7,4.0,56,14
Met Office UM,1,9.0,21.0,21.0,196,18699,149511.7,3.5,56453.3,3.6,26,5
Python,1,1.0,1.0,8.0,1024,9840,97371.9,2.3,34268.7,2.2,51,23
OpenFOAM,1,1.0,1.0,4.0,200,1266,84672.3,2.0,32354.8,2.0,44,16
FHI aims,1,2.0,4.0,4.0,100,6651,73891.4,1.7,28453.8,1.8,26,7
OpenSBLI,32,500.0,500.0,500.0,1024,32,73463.1,1.7,21138.6,1.3,3,2
CASTEP,1,1.0,2.0,4.0,263,4562,52911.0,1.3,19085.3,1.2,36,6
Hydro3D,1,2.0,5.0,22.0,622,87,40610.2,1.0,14186.3,0.9,4,3
Amber,1,4.0,48.0,96.0,96,44,37734.4,0.9,10019.2,0.6,2,1
GENE,1,1.0,1.0,1.0,80,138,34105.8,0.8,13968.3,0.9,6,4
iIMB,16,16.0,18.0,18.0,72,85,31831.1,0.8,11823.7,0.7,2,2
Nek5000,16,16.0,16.0,22.2,512,26,31162.1,0.7,15147.2,1.0,3,2
MITgcm,1,2.0,2.0,2.0,8,5558,30341.1,0.7,11018.3,0.7,12,4
EPOCH,1,4.0,10.0,18.0,32,716,27616.4,0.7,9937.9,0.6,8,1
NEMO,1,9.0,10.0,13.0,128,742,26808.6,0.6,9155.0,0.6,20,3
ONETEP,1,1.0,2.0,4.0,30,426,23517.1,0.6,7865.7,0.5,8,3
Quantum Espresso,1,1.0,1.0,4.0,38,6992,20841.6,0.5,8752.8,0.6,22,8
ChemShell,1,2.0,2.0,8.0,16,274,20420.0,0.5,9275.6,0.6,8,4
EDAMAME,11,11.0,11.0,11.0,54,100,20025.1,0.5,7086.8,0.4,2,1
NAMD,1,4.0,4.0,8.0,16,427,16666.6,0.4,8766.3,0.6,7,5
WRF,1,1.0,1.0,3.0,8,261,16586.2,0.4,6486.1,0.4,5,2
Code_Saturne,1,8.0,8.0,16.0,64,100,15339.4,0.4,5902.6,0.4,6,2
Xcompact3d,2,2.0,4.0,16.0,256,107,14636.6,0.3,5218.4,0.3,4,1
PeleLMeX,1,2.0,4.0,4.0,16,195,12602.4,0.3,4769.9,0.3,3,1
CESM,1,3.0,10.0,12.0,52,200,11487.3,0.3,4173.1,0.3,5,1
CASINO,1,4.0,8.0,8.0,1024,107,9883.9,0.2,3788.2,0.2,2,2
a.out,1,1.0,8.0,9.0,128,641,9102.8,0.2,3302.1,0.2,10,6
HYDRA,1,2.5,4.0,9.0,35,30,6698.3,0.2,2445.7,0.2,7,7
CRYSTAL,1,1.0,1.0,2.0,51,192,6255.2,0.1,1756.3,0.1,4,2
VAMPIRE,1,4.0,4.0,8.0,64,302,6025.1,0.1,2799.3,0.2,5,2
GS2,4,10.0,10.0,22.0,32,121,4867.0,0.1,1650.8,0.1,4,2
ptau3d,1,4.0,10.0,10.0,512,133,4035.8,0.1,1171.9,0.1,3,1
RMT,6,9.0,10.0,12.0,20,68,2459.3,0.1,898.7,0.1,3,1
TPLS,1,2.0,2.0,4.0,16,124,2229.4,0.1,856.9,0.1,3,1
SIESTA,1,1.0,1.0,18.0,18,134,1584.4,0.0,596.4,0.0,4,3
BOUT++,14,14.0,14.0,14.0,14,7,1555.3,0.0,566.1,0.0,1,1
NWChem,1,1.0,1.0,1.0,8,391,1044.6,0.0,446.0,0.0,12,7
PDNS3D,8,8.0,8.0,8.0,8,42,942.8,0.0,399.4,0.0,2,1
Arm Forge,1,1.0,4.0,8.0,64,437,937.8,0.0,231.4,0.0,5,4
HemeLB,1,4.0,6.0,28.0,64,82,715.4,0.0,227.5,0.0,3,3
Smilei,1,1.0,1.0,32.0,64,65,561.7,0.0,179.0,0.0,3,1
PRECISE,1,1.0,1.0,1.0,15,22,210.1,0.0,109.4,0.0,2,2
SU2,1,10.0,10.0,10.0,10,23,193.4,0.0,75.0,0.0,1,1
SPECFEM3D,5,5.0,5.0,5.0,5,6,33.3,0.0,13.9,0.0,1,1
ludwig,1,1.0,1.0,4.0,32,31,28.6,0.0,12.7,0.0,1,1
FVCOM,1,1.0,1.0,1.0,1,20,24.1,0.0,7.4,0.0,1,1
ABINIT,1,1.0,1.0,1.0,1,12,23.1,0.0,8.6,0.0,2,2
DL_MESO,1,1.0,1.0,1.0,1,4,12.0,0.0,3.6,0.0,1,1
AxiSEM3D,1,1.0,1.0,1.0,4,41,10.0,0.0,3.4,0.0,2,1
DL_POLY,1,1.2,1.5,1.8,2,2,9.4,0.0,2.9,0.0,1,1
CloverLeaf,1,1.0,1.0,1.5,8,11,0.9,0.0,0.3,0.0,1,2
