Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,1,1.0,4.0,11.0,1169,149005,4423036.4,100.0,1592776.4,100.0,845,121
Unidentified,1,1.0,1.0,4.0,1169,62120,1307136.3,29.6,472772.7,29.7,723,110
VASP,1,1.0,4.0,4.0,1169,21762,753145.4,17.0,255804.6,16.1,136,13
Met Office UM,1,16.0,21.0,21.0,196,22336,337850.8,7.6,117637.9,7.4,25,5
GROMACS,1,4.0,12.0,12.0,80,5052,219719.6,5.0,81693.4,5.1,36,6
Nektar++,1,3.0,18.0,32.0,150,692,211481.5,4.8,68844.4,4.3,10,3
Python,1,1.0,1.0,8.0,450,2652,195489.5,4.4,66835.0,4.2,44,19
CP2K,1,1.0,4.0,8.0,80,8303,184677.7,4.2,65425.6,4.1,45,8
LAMMPS,1,1.0,1.0,4.0,1024,2205,158044.7,3.6,72725.2,4.6,37,13
OpenFOAM,1,1.0,4.0,5.0,540,1715,116994.5,2.6,41527.4,2.6,52,20
Xcompact3d,4,8.0,8.0,8.0,256,557,112470.5,2.5,38786.2,2.4,8,4
VAMPIRE,1,1.0,4.0,4.0,16,3320,101692.0,2.3,47461.2,3.0,8,3
SENGA,1,1.0,1.0,32.0,128,365,83865.0,1.9,34451.5,2.2,8,6
Code_Saturne,1,8.0,8.0,32.0,256,93,67357.1,1.5,23865.3,1.5,6,4
CASTEP,1,1.0,1.0,2.0,120,4477,63026.6,1.4,20892.0,1.3,45,6
iIMB,18,18.0,18.0,18.0,50,195,59882.8,1.4,23235.6,1.5,2,2
GENE,1,1.0,2.0,5.0,80,495,51632.3,1.2,21057.9,1.3,11,3
ChemShell,1,4.0,8.0,8.0,8,188,48080.2,1.1,13814.9,0.9,6,1
NEMO,2,9.0,10.0,18.0,125,1480,44866.5,1.0,15112.9,0.9,19,2
MITgcm,1,1.0,2.0,2.0,15,2392,37449.4,0.8,13217.3,0.8,12,3
PeleLMeX,4,4.0,4.0,4.0,8,447,33134.7,0.7,9319.2,0.6,2,1
Quantum Espresso,1,1.0,2.0,4.5,32,2012,30027.1,0.7,11324.5,0.7,27,7
FHI aims,1,2.0,4.0,8.0,32,1773,25337.0,0.6,9706.2,0.6,19,3
CRYSTAL,1,1.0,4.0,17.0,53,81,22854.5,0.5,11018.7,0.7,4,1
SBLI,1,4.0,8.0,10.0,1024,118,22001.8,0.5,7645.4,0.5,4,3
OpenSBLI,1,10.0,21.0,64.0,1024,58,21919.6,0.5,7615.9,0.5,3,2
SIESTA,1,1.0,1.0,1.0,52,397,16338.2,0.4,6736.7,0.4,3,2
WRF,1,3.0,3.0,3.0,3,445,16004.0,0.4,6166.6,0.4,3,2
Hydro3D,16,16.0,16.0,112.0,287,20,13863.0,0.3,4854.7,0.3,2,1
ONETEP,1,1.0,1.0,4.0,32,309,11178.8,0.3,3188.5,0.2,6,1
EDAMAME,11,13.0,15.0,19.0,211,42,10359.2,0.2,3601.0,0.2,2,1
BOUT++,6,6.0,14.0,14.0,14,70,10307.4,0.2,3681.9,0.2,1,1
EPOCH,1,4.0,10.0,15.0,32,278,8086.8,0.2,2980.8,0.2,6,1
RMT,2,2.0,6.0,32.0,32,72,7991.6,0.2,2379.6,0.1,3,1
NWChem,1,1.0,1.0,3.0,10,294,7772.1,0.2,2402.9,0.2,6,3
NAMD,1,4.0,4.0,4.0,5,190,7218.4,0.2,3716.3,0.2,6,4
ptau3d,10,10.0,10.0,17.5,100,43,4954.5,0.1,1556.2,0.1,1,1
CESM,1,1.0,1.0,6.0,20,426,4711.1,0.1,1726.3,0.1,10,2
Smilei,2,4.0,4.0,5.0,64,159,3700.2,0.1,1002.4,0.1,3,1
HYDRA,1,2.0,2.0,4.0,40,72,3480.7,0.1,1161.0,0.1,5,3
a.out,1,1.0,2.0,8.0,40,648,3379.0,0.1,1217.9,0.1,16,8
Nek5000,1,1.0,1.0,1.0,17,35,2341.0,0.1,990.9,0.1,2,2
PRECISE,1,1.0,1.0,1.0,10,20,1166.9,0.0,445.8,0.0,2,2
SU2,30,30.0,30.0,30.0,30,1,720.2,0.0,358.4,0.0,1,1
HemeLB,1,2.0,2.0,32.0,128,74,583.8,0.0,204.8,0.0,2,2
DL_MESO,2,2.0,2.0,2.0,2,17,290.4,0.0,88.9,0.0,1,1
GS2,1,2.0,4.0,5.0,5,368,281.9,0.0,110.4,0.0,2,1
Arm Forge,1,1.0,1.0,2.0,12,104,39.1,0.0,12.2,0.0,6,5
DL_POLY,1,1.0,1.0,1.0,1,17,17.2,0.0,4.8,0.0,1,1
TPLS,1,4.0,4.0,4.0,16,37,16.8,0.0,5.4,0.0,2,1
AxiSEM3D,2,2.0,2.0,2.0,2,29,16.4,0.0,7.0,0.0,1,1
GPAW,1,1.0,1.0,1.0,1,3,0.3,0.0,0.1,0.0,1,1
Zacros,4,4.0,4.0,4.0,4,3,0.1,0.0,0.0,0.0,1,1
Amber,1,6.8,12.5,18.2,24,2,0.0,0.0,0.0,0.0,1,1
