Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,0,1.0,2.0,8.0,5184,193490,4314020.3,100.0,1535779.4,100.0,856,131
Unidentified,0,1.0,1.0,4.0,5184,72132,1544355.2,35.8,531106.8,34.6,753,123
VASP,1,1.0,1.0,4.0,688,22937,934285.8,21.7,320162.3,20.8,137,16
GROMACS,1,1.0,4.0,8.0,48,1838,198208.3,4.6,96377.5,6.3,46,8
Met Office UM,1,4.0,6.0,21.0,196,44202,182318.2,4.2,73107.4,4.8,30,4
CP2K,1,1.0,4.0,24.0,88,6743,163561.2,3.8,57743.6,3.8,52,12
Python,1,6.0,8.0,8.0,512,5171,161450.0,3.7,46360.3,3.0,55,25
OpenFOAM,1,1.0,1.0,4.0,100,1721,108013.9,2.5,38005.6,2.5,44,13
LAMMPS,1,1.0,1.0,1.0,1024,22351,106459.4,2.5,44453.6,2.9,53,21
Nektar++,1,8.0,30.0,40.0,100,416,92904.9,2.2,30611.9,2.0,9,3
CRYSTAL,1,4.0,8.0,18.0,4096,412,85462.8,2.0,28373.5,1.8,8,4
CASTEP,1,1.0,2.0,4.0,82,3041,81769.4,1.9,29925.8,1.9,48,8
NEMO,1,9.0,10.0,30.0,258,669,81240.2,1.9,25354.6,1.7,21,2
FHI aims,1,2.0,8.0,16.0,32,2694,65729.1,1.5,24082.9,1.6,18,3
NAMD,1,4.0,4.0,4.0,2000,185,45367.3,1.1,20430.4,1.3,8,6
Xcompact3d,1,2.0,6.0,24.0,256,223,40441.2,0.9,14358.3,0.9,11,6
SENGA,1,1.0,2.0,32.0,192,93,33146.9,0.8,17419.8,1.1,5,3
VAMPIRE,1,2.0,4.0,8.0,32,758,32736.3,0.8,11795.3,0.8,10,3
Hydro3D,10,17.0,22.0,30.0,400,67,31216.9,0.7,10657.2,0.7,6,3
ChemShell,1,1.0,4.0,8.0,57,192,30423.8,0.7,11362.7,0.7,10,3
ONETEP,1,2.0,8.0,10.0,72,214,28390.1,0.7,9402.9,0.6,9,2
Code_Saturne,1,4.0,10.0,42.5,2048,68,28333.4,0.7,9484.7,0.6,7,3
OSIRIS,96,96.0,96.0,96.0,96,25,25459.0,0.6,8392.2,0.5,2,2
iIMB,15,15.0,15.0,50.0,50,42,24378.5,0.6,9734.1,0.6,2,2
3DNS,69,69.0,69.0,139.0,139,12,21044.4,0.5,7028.7,0.5,1,1
BOUT++,6,6.0,14.0,14.0,14,95,20867.5,0.5,7715.1,0.5,1,1
ptau3d,10,20.0,20.0,30.0,300,50,16360.9,0.4,4856.9,0.3,1,1
Nek5000,15,30.0,30.0,50.0,200,24,15455.0,0.4,6113.4,0.4,3,3
TPLS,1,1.0,1.0,4.0,32,121,14156.5,0.3,5995.8,0.4,3,2
MITgcm,1,1.0,1.0,1.0,5,2493,13046.1,0.3,4720.8,0.3,13,3
Quantum Espresso,1,1.0,2.0,3.0,32,1264,10264.1,0.2,4361.4,0.3,22,5
HYDRA,1,1.0,2.0,10.0,20,139,8148.2,0.2,2630.2,0.2,5,4
a.out,1,1.0,2.0,8.0,64,413,8017.8,0.2,3096.0,0.2,12,7
NWChem,1,1.0,1.0,3.0,20,100,7369.5,0.2,456.4,0.0,10,5
Smilei,1,32.0,32.0,56.0,512,86,6755.5,0.2,2010.8,0.1,5,2
GENE,1,1.0,5.0,7.0,80,569,6242.2,0.1,2558.6,0.2,10,4
CASINO,1,2.0,2.0,12.0,36,108,6154.9,0.1,2676.2,0.2,3,2
EDAMAME,1,11.0,11.0,11.0,27,163,5900.4,0.1,2144.2,0.1,2,1
SIESTA,1,7.2,12.0,18.8,44,294,5601.5,0.1,2064.3,0.1,2,2
PDNS3D,8,8.0,8.0,8.0,128,59,4123.0,0.1,1704.8,0.1,2,1
RMT,4,5.0,5.0,5.0,31,480,3020.1,0.1,1023.4,0.1,4,1
CESM,1,4.0,4.0,12.0,32,111,3007.1,0.1,1061.0,0.1,4,1
SBLI,1,2.0,3.0,32.0,1024,85,2882.0,0.1,1161.7,0.1,4,3
EPOCH,1,4.0,4.0,4.0,20,162,2773.4,0.1,1049.7,0.1,6,2
ludwig,32,40.0,64.0,64.0,64,42,2769.6,0.1,911.5,0.1,1,1
OpenSBLI,1,2.0,3.0,3.0,1024,81,2172.3,0.1,886.0,0.1,3,2
SU2,1,1.8,2.0,3.0,10,80,2132.7,0.0,814.2,0.1,3,1
WRF,1,3.0,3.0,3.0,3,25,1559.6,0.0,624.2,0.0,2,2
GS2,1,13.0,13.0,13.0,16,21,334.1,0.0,139.3,0.0,2,2
HemeLB,1,1.0,1.0,32.0,50,77,226.3,0.0,106.5,0.0,6,4
Arm Forge,1,1.0,1.0,1.0,16,166,60.5,0.0,16.9,0.0,10,7
AxiSEM3D,2,2.0,2.0,2.0,2,15,40.0,0.0,15.2,0.0,1,1
DL_MESO,1,1.0,1.0,1.0,1,10,25.4,0.0,9.1,0.0,1,1
GPAW,1,1.0,1.0,2.0,2,17,15.6,0.0,6.0,0.0,2,2
Elk,1,1.0,1.0,1.0,1,2,10.7,0.0,3.2,0.0,1,1
FEniCS,1,1.0,1.0,1.0,1,4,3.8,0.0,0.9,0.0,1,1
SPECFEM3D,1,1.0,1.0,1.0,1,6,0.3,0.0,0.1,0.0,2,1
CloverLeaf,1,1.0,1.0,1.0,1,3,0.0,0.0,0.0,0.0,1,1
