Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,0.0,339.8,402.3,502.2,834.2,504308,3554664.1,99.0,1582955.2,98.5,623,96
VASP,0.0,453.8,508.2,527.5,834.2,69396,747652.4,20.8,319052.6,19.8,120,9
Unidentified,0.0,394.7,451.3,491.8,628.9,90829,456872.7,12.7,201061.4,12.5,211,64
GROMACS,0.0,359.3,389.0,428.3,824.7,134109,325028.6,9.0,161894.8,10.1,29,10
ONETEP,0.0,260.0,336.2,471.7,525.4,2141,277610.4,7.7,123232.4,7.7,7,2
CP2K,0.0,356.7,477.2,503.4,765.4,8255,251070.0,7.0,100093.0,6.2,39,9
LAMMPS,0.0,482.7,508.5,527.2,768.0,8592,207446.3,5.8,90690.8,5.6,53,16
Nektar++,107.0,461.4,508.0,539.3,626.5,314,173972.7,4.8,87523.8,5.4,8,4
Python,0.0,400.3,461.1,501.8,661.8,2464,147349.3,4.1,70850.5,4.4,20,15
a.out,0.0,468.7,486.7,500.4,629.0,397,137320.7,3.8,67026.4,4.2,8,7
Met Office UM,0.0,120.1,354.2,504.5,630.5,5443,92921.9,2.6,34236.4,2.1,29,2
CASTEP,0.0,171.0,327.0,353.0,813.8,129466,85066.8,2.4,38088.2,2.4,41,4
ChemShell,0.0,415.0,475.1,514.6,760.6,1291,78909.0,2.2,33193.8,2.1,11,3
Xcompact3d,0.0,472.1,497.0,518.5,581.5,791,75776.8,2.1,36379.6,2.3,9,4
SENGA,0.0,523.5,544.1,556.1,616.6,367,72803.4,2.0,37927.9,2.4,7,2
Code_Saturne,0.0,411.9,515.8,536.7,579.5,179,53409.5,1.5,15399.9,1.0,5,3
OpenFOAM,0.0,439.6,510.8,539.3,805.3,544,38213.5,1.1,18428.4,1.1,27,8
NAMD,0.9,352.0,458.2,524.9,614.2,12929,36897.7,1.0,16975.9,1.1,8,4
GS2,40.3,408.3,500.3,529.7,561.9,384,31799.7,0.9,11655.0,0.7,2,1
iIMB,430.6,507.0,515.3,521.9,538.8,58,26804.8,0.7,13710.9,0.9,2,1
CRYSTAL,0.0,486.8,506.9,520.5,557.3,514,23671.8,0.7,11614.8,0.7,6,4
FHI aims,0.0,447.6,500.6,517.3,628.7,16928,23188.8,0.6,9478.3,0.6,19,2
CESM,90.5,297.9,328.4,350.4,570.0,298,23129.9,0.6,7458.1,0.5,2,1
NEMO,0.0,348.9,449.9,492.2,572.0,1444,18642.0,0.5,8221.4,0.5,12,4
3DNS,0.2,467.3,480.5,537.6,559.6,33,17839.3,0.5,8738.6,0.5,1,1
Quantum Espresso,0.0,421.9,477.4,504.7,786.6,4178,15885.8,0.4,7436.6,0.5,9,3
CASINO,0.0,453.3,505.5,536.3,576.1,242,14273.4,0.4,7159.9,0.4,6,3
PDNS3D,274.6,488.8,558.9,563.3,596.2,32,13395.7,0.4,7501.4,0.5,3,1
Nek5000,389.7,494.7,532.0,548.2,574.3,72,11905.4,0.3,6453.0,0.4,3,2
EPOCH,0.0,497.6,505.7,515.2,628.4,1516,11768.5,0.3,6020.2,0.4,5,1
SIESTA,0.0,485.4,490.5,510.7,559.2,1393,9504.3,0.3,2049.1,0.1,7,2
MITgcm,0.0,414.5,469.8,531.6,593.7,581,8255.8,0.2,4075.6,0.3,11,2
ptau3d,182.4,230.7,265.0,321.9,448.7,38,8005.1,0.2,2490.2,0.2,1,1
NWChem,0.0,475.5,502.9,517.9,561.6,7302,7398.8,0.2,3315.0,0.2,14,6
EDAMAME,0.0,450.0,466.2,477.3,537.1,118,6375.2,0.2,2838.1,0.2,2,1
RMT,75.2,457.1,490.9,510.5,559.0,558,5180.3,0.1,2460.8,0.2,5,1
TPLS,410.3,537.8,551.1,560.6,607.4,72,4761.3,0.1,2615.8,0.2,2,1
Smilei,13.5,248.9,340.3,407.1,524.0,75,4561.4,0.1,900.6,0.1,2,2
GPAW,0.0,499.4,511.7,522.0,578.1,525,4121.3,0.1,1937.9,0.1,1,1
HYDRA,458.3,462.1,476.4,497.2,507.6,5,1899.0,0.1,917.3,0.1,1,1
CPMD,0.0,519.4,529.0,547.2,585.2,89,1668.5,0.0,854.3,0.1,1,1
FVCOM,263.5,510.6,525.4,542.6,567.4,224,1533.3,0.0,781.4,0.0,1,1
HANDE,0.0,191.4,221.5,285.2,479.0,11,276.0,0.0,59.6,0.0,1,1
DL_POLY,0.6,26.7,186.0,513.1,562.0,48,190.2,0.0,6.9,0.0,1,1
WRF,517.8,518.7,519.6,520.5,521.5,2,156.3,0.0,81.1,0.0,1,1
HemeLB,0.0,504.2,510.7,516.0,554.4,10,123.2,0.0,61.0,0.0,1,1
Arm Forge,102.0,235.2,292.7,330.3,462.0,41,16.6,0.0,4.6,0.0,4,4
Cluster,1.0,1.3,1.6,197.7,393.7,3,8.7,0.0,1.5,0.0,1,1
OSIRIS,192.6,267.4,342.2,394.4,446.6,3,2.0,0.0,0.5,0.0,2,2
PRECISE,241.2,271.5,325.3,375.4,394.9,4,0.0,0.0,0.0,0.0,1,1
