Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,1.0,8.0,20.0,60.0,2048.0,226976,1473386.6,100.0,548757.7,100.0,654,100
Unidentified,1.0,12.0,48.0,85.0,2048.0,177646,486365.9,33.0,178789.3,32.6,485,85
VASP,1.0,5.0,12.0,20.0,256.0,18346,277492.6,18.8,100705.8,18.4,111,14
Met Office UM,1.0,16.0,16.0,196.0,196.0,8461,82680.4,5.6,31028.8,5.7,17,3
CP2K,1.0,5.0,12.0,18.0,160.0,5516,73798.8,5.0,24423.4,4.5,38,10
OpenFOAM,1.0,10.0,32.0,84.0,224.0,612,65984.9,4.5,24301.9,4.4,34,13
Nektar++,1.0,40.0,50.0,80.0,130.0,391,51838.6,3.5,19734.6,3.6,11,4
LAMMPS,1.0,2.0,16.0,400.0,1024.0,3518,50252.2,3.4,21552.3,3.9,33,13
Code_Saturne,1.0,256.0,256.0,256.0,256.0,99,42007.0,2.9,14350.7,2.6,6,4
GROMACS,1.0,6.0,20.0,32.0,32.0,427,37562.0,2.5,18988.2,3.5,21,4
GENE,1.0,32.0,32.0,64.0,80.0,146,34681.5,2.4,14292.7,2.6,14,3
SENGA,12.0,40.0,288.0,288.0,288.0,17,30305.4,2.1,15353.5,2.8,4,3
Python,1.0,5.0,5.0,12.0,512.0,2520,30113.8,2.0,8858.6,1.6,39,20
Quantum Espresso,1.0,4.0,8.0,9.0,32.0,2881,20547.7,1.4,8789.1,1.6,17,4
CASTEP,1.0,2.0,4.0,6.0,32.0,1793,19691.0,1.3,7056.9,1.3,31,6
ChemShell,1.0,8.0,8.0,8.0,16.0,103,18431.1,1.3,6140.8,1.1,4,2
FHI aims,1.0,4.0,8.0,20.0,40.0,638,17962.0,1.2,7548.9,1.4,20,3
MITgcm,1.0,2.0,2.0,2.0,8.0,800,16359.3,1.1,5743.6,1.0,8,3
RMT,8.0,19.0,19.0,19.0,57.0,210,15661.5,1.1,5391.6,1.0,5,1
EPOCH,4.0,8.0,8.0,20.0,32.0,242,11035.9,0.7,4491.7,0.8,5,1
iIMB,16.0,16.0,24.0,50.0,50.0,216,9467.4,0.6,3130.5,0.6,2,2
Xcompact3d,1.0,4.0,32.0,32.0,128.0,74,8444.4,0.6,3104.5,0.6,6,5
CRYSTAL,1.0,12.0,12.0,12.0,12.0,137,8368.3,0.6,2621.1,0.5,4,2
ONETEP,1.0,1.0,2.0,10.0,25.0,225,8232.7,0.6,2706.3,0.5,6,1
WRF,3.0,3.0,3.0,3.0,3.0,49,8080.3,0.5,3231.6,0.6,1,1
CESM,1.0,10.0,120.0,120.0,300.0,148,7441.4,0.5,2493.4,0.5,6,1
PeleLMeX,1.0,4.0,4.0,32.0,32.0,94,6078.1,0.4,1497.7,0.3,3,1
NEMO,1.0,10.0,30.0,37.0,134.0,298,6049.6,0.4,1942.9,0.4,15,2
a.out,1.0,20.0,32.0,32.0,32.0,77,4453.9,0.3,1208.8,0.2,7,7
VAMPIRE,1.0,4.0,4.0,4.0,96.0,212,4010.7,0.3,2042.7,0.4,4,3
ptau3d,10.0,20.0,200.0,200.0,200.0,14,3268.6,0.2,1090.1,0.2,1,1
EDAMAME,8.0,11.0,11.0,11.0,11.0,54,3264.2,0.2,1186.1,0.2,2,1
NWChem,1.0,1.0,1.0,4.0,8.0,328,2804.0,0.2,922.3,0.2,8,4
NAMD,1.0,4.0,4.0,4.0,4.0,103,2101.4,0.1,1118.7,0.2,2,2
Hydro3D,9.0,30.0,30.0,112.0,112.0,6,1782.4,0.1,615.4,0.1,2,2
Smilei,2.0,4.0,4.0,4.0,32.0,84,1609.5,0.1,618.3,0.1,3,1
HYDRA,1.0,3.0,4.0,4.0,20.0,126,1607.8,0.1,430.8,0.1,5,4
OSIRIS,16.0,16.0,16.0,16.0,32.0,7,1375.4,0.1,334.3,0.1,1,1
OpenSBLI,3.0,1024.0,1024.0,1024.0,1024.0,44,828.2,0.1,327.9,0.1,2,2
FDS,2.0,2.0,2.0,2.0,2.0,12,457.3,0.0,252.5,0.0,1,1
HemeLB,1.0,2.0,4.0,4.0,4.0,29,407.3,0.0,138.8,0.0,2,1
SU2,2.0,2.0,4.0,4.0,4.0,33,267.4,0.0,108.4,0.0,1,1
AxiSEM3D,2.0,2.0,2.0,2.0,2.0,201,133.5,0.0,58.0,0.0,1,1
Nek5000,1.0,1.0,4.0,4.0,4.0,10,65.0,0.0,28.1,0.0,3,3
ludwig,1.0,1.0,2.0,2.0,2.0,5,7.5,0.0,3.6,0.0,1,1
Arm Forge,1.0,1.0,1.0,1.0,1.0,15,5.6,0.0,1.5,0.0,1,1
PDNS3D,8.0,8.0,8.0,8.0,8.0,2,1.7,0.0,0.6,0.0,1,1
TPLS,1.0,1.0,1.0,1.0,1.0,4,1.1,0.0,0.4,0.0,1,1
SIESTA,1.0,1.0,1.0,1.0,1.0,1,0.1,0.0,0.0,0.0,1,1
DL_MESO,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,0.0,0.0,1,1
