Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,1.0,8.0,256.0,262144,1864945,3547969.3,100.0,775,121
VASP,1,128.0,384.0,512.0,19328,168720,784807.7,22.1,132,11
Unknown,1,1.0,1.0,128.0,262144,398228,645104.0,18.2,380,92
LAMMPS,1,128.0,256.0,512.0,131072,12029,261231.1,7.4,60,20
CP2K,1,64.0,128.0,512.0,8192,29012,257980.7,7.3,50,10
Met Office UM,1,512.0,1024.0,1152.0,12544,6883,226883.4,6.4,36,3
Python,1,1.0,1.0,1.0,32768,676994,163889.2,4.6,52,25
GROMACS,1,4.0,12.0,24.0,6144,27647,131501.2,3.7,39,8
CASTEP,1,128.0,384.0,384.0,10240,345566,117881.2,3.3,56,7
FHI aims,1,128.0,256.0,1024.0,8192,15914,107503.2,3.0,18,2
Quantum Espresso,1,128.0,384.0,512.0,4096,8504,103327.1,2.9,26,5
3DNS,2184,9402.0,10944.0,30512.0,50217,169,81058.3,2.3,2,1
ChemShell,1,128.0,256.0,512.0,1536,1220,67181.7,1.9,14,4
ONETEP,1,4.0,80.0,128.0,512,575,61111.4,1.7,6,2
OpenFOAM,1,128.0,256.0,512.0,6400,2263,60810.2,1.7,33,15
GENE,1,256.0,640.0,896.0,20480,842,57788.5,1.6,6,5
SENGA,8,128.0,512.0,9072.0,18432,131,49930.8,1.4,5,5
NEMO,1,1.0,96.0,1024.0,14592,29179,41818.8,1.2,23,3
Nektar++,128,128.0,128.0,9216.0,12800,403,39119.0,1.1,1,1
CRYSTAL,128,128.0,512.0,512.0,32768,767,36555.9,1.0,9,3
iIMB,512,1152.0,3072.0,3072.0,10752,166,33601.6,0.9,3,2
RMT,4,384.0,1536.0,2432.0,2432,213,28160.6,0.8,4,1
Xcompact3d,64,2048.0,4096.0,8192.0,16384,154,24038.5,0.7,8,4
Cluster,1024,1024.0,1024.0,1024.0,1024,241,23475.1,0.7,1,1
MITgcm,28,126.0,126.0,128.0,615,22287,20966.0,0.6,10,3
Code_Saturne,128,448.0,2048.0,2048.0,131072,104,19783.6,0.6,6,3
OpenSBLI,4,131072.0,131072.0,131072.0,131072,76,15660.4,0.4,2,2
NWChem,96,128.0,128.0,256.0,512,1354,14883.9,0.4,12,5
a.out,1,80.0,128.0,1024.0,4096,981,12002.0,0.3,10,7
Smilei,1,32.0,32.0,256.0,4096,361,10733.1,0.3,3,1
GS2,1,16.0,16.0,16.0,3712,108599,10322.8,0.3,5,2
EPOCH,64,128.0,400.0,1280.0,32768,446,5182.6,0.1,10,3
TPLS,64,128.0,2048.0,2048.0,4096,37,4846.1,0.1,3,3
PDNS3D,1024,1024.0,1024.0,16384.0,20480,64,4788.2,0.1,1,1
R-matrix,1,500.0,500.0,4340.0,10000,14,4671.2,0.1,1,1
SIESTA,2,96.0,128.0,128.0,1536,2096,4302.4,0.1,6,2
CESM,8,128.0,128.0,256.0,576,455,3756.0,0.1,4,2
CASINO,128,1024.0,1024.0,1024.0,1024,21,2907.6,0.1,2,2
SBLI,1,16.0,16.0,256.0,2048,185,2629.2,0.1,4,3
NAMD,8,32.0,128.0,512.0,512,98,2611.6,0.1,6,4
ptau3d,8,16.0,128.0,280.0,280,43,2416.6,0.1,3,1
DL_POLY,128,128.0,128.0,128.0,256,81,345.6,0.0,1,1
DL_MESO,32,80.0,128.0,128.0,128,54,191.8,0.0,2,1
EDAMAME,64,343.0,343.0,343.0,512,123,51.1,0.0,2,1
HANDE,1,2.0,8.0,16.0,20,603,47.5,0.0,1,1
Arm Forge,1,8.0,64.0,64.0,1024,519,31.4,0.0,10,6
HYDRA,1,256.0,512.0,512.0,1536,39,21.7,0.0,4,2
WRF,72,114.0,128.0,128.0,128,4,17.1,0.0,2,2
ECHAM,384,384.0,384.0,384.0,384,5,15.0,0.0,1,1
AxiSEM3D,48,48.0,48.0,48.0,48,21,14.7,0.0,1,1
Elk,32,256.0,256.0,256.0,256,18,8.8,0.0,1,1
Nek5000,64,96.0,640.0,640.0,640,7,2.2,0.0,1,1
UKRmol+,1,1.0,2.0,2.0,2,417,0.0,0.0,1,1
FVCOM,1,1.2,512.0,512.0,512,10,0.0,0.0,2,1
GPAW,128,128.0,128.0,128.0,128,3,0.0,0.0,1,1
