Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,1,8.0,32.0,82.0,2048,286789,4504398.8,100.0,1739718.1,100.0,812,117
Unidentified,1,12.0,35.0,82.0,2048,81256,1402860.4,31.1,520556.7,29.9,671,105
VASP,1,4.0,8.0,30.0,800,37093,678179.9,15.1,252111.0,14.5,122,17
SENGA,1,40.0,40.0,288.0,288,315,278094.4,6.2,141420.5,8.1,6,4
GROMACS,1,8.0,12.0,32.0,128,2821,214532.6,4.8,108982.2,6.3,42,7
Met Office UM,1,21.0,196.0,196.0,196,17931,198651.7,4.4,85062.2,4.9,29,2
OpenFOAM,1,8.0,16.0,54.0,140,1135,165347.2,3.7,61614.3,3.5,38,13
CASTEP,1,10.0,32.0,50.0,1000,3414,164755.3,3.7,53465.4,3.1,39,9
CP2K,1,4.0,8.0,32.0,160,6450,160405.5,3.6,55637.1,3.2,44,11
Python,1,12.0,288.0,288.0,1024,10775,124268.7,2.8,42477.1,2.4,50,22
Code_Saturne,3,64.0,64.0,256.0,256,142,116824.4,2.6,40519.4,2.3,5,3
LAMMPS,1,1.0,4.0,10.0,2048,4985,115443.1,2.6,47022.2,2.7,49,15
Nek5000,30,30.0,200.0,200.0,200,44,98590.1,2.2,38201.3,2.2,2,2
EDAMAME,1,84.0,123.0,895.0,1020,120,93944.3,2.1,31952.8,1.8,2,1
VAMPIRE,4,16.0,16.0,16.0,40,539,79911.2,1.8,39425.1,2.3,6,2
Nektar++,1,30.0,40.0,40.0,100,2182,52918.4,1.2,18876.9,1.1,7,3
FHI aims,1,2.0,4.0,16.0,48,3486,52600.2,1.2,20800.4,1.2,20,4
Xcompact3d,1,25.0,64.0,64.0,512,768,41394.6,0.9,14880.7,0.9,10,5
BOUT++,6,14.0,14.0,14.0,14,204,39670.2,0.9,14589.4,0.8,1,1
iIMB,3,24.0,28.0,50.0,98,237,33566.5,0.7,12979.6,0.7,4,3
3DNS,55,206.0,206.0,206.0,206,98945,32801.2,0.7,8228.2,0.5,2,1
MITgcm,1,1.0,1.0,2.0,8,3107,32013.8,0.7,12383.0,0.7,13,3
