Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,1,1.0,1.0,4.0,4096,326513,4023624.2,100.0,1515473.6,100.0,817,126
Unidentified,1,1.0,2.0,2.0,4096,141432,1401315.9,34.8,477661.3,31.5,697,117
VASP,1,1.0,1.0,2.0,128,62483,778001.6,19.3,303163.5,20.0,137,14
Nektar++,1,1.0,7.5,32.0,240,584,349515.5,8.7,128527.7,8.5,14,4
GROMACS,1,1.0,2.0,12.0,64,9701,200313.7,5.0,97228.9,6.4,38,9
CP2K,1,2.0,4.0,6.0,50,6770,149707.3,3.7,51282.1,3.4,44,10
SENGA,1,12.0,13.0,64.0,262,119,143154.6,3.6,77473.3,5.1,6,3
OpenFOAM,1,1.0,2.0,6.0,800,1449,134891.2,3.4,49665.5,3.3,45,20
LAMMPS,1,1.0,1.0,4.0,4096,5954,117462.8,2.9,50250.7,3.3,46,17
CASTEP,1,1.0,2.0,6.0,48,14724,92553.4,2.3,36009.0,2.4,36,6
PeleLMeX,1,1.0,2.0,8.0,64,281,62636.6,1.6,19146.0,1.3,4,1
VAMPIRE,1,5.0,8.0,8.0,512,772,61883.8,1.5,29510.5,1.9,5,3
Met Office UM,1,4.0,6.0,21.0,200,27932,57127.4,1.4,19536.0,1.3,26,7
FHI aims,1,1.0,4.0,4.0,32,3503,48058.8,1.2,20790.8,1.4,25,5
OpenSBLI,200,200.0,200.0,500.0,1024,19,40289.6,1.0,14436.7,1.0,3,3
Xcompact3d,8,64.0,64.0,64.0,1024,62,38065.2,0.9,14914.9,1.0,4,4
Python,1,1.0,1.0,1.0,72,2511,34659.1,0.9,12441.1,0.8,41,21
Quantum Espresso,1,1.0,2.0,4.0,80,1595,29541.7,0.7,10148.7,0.7,32,9
NEMO,1,8.0,10.0,12.0,128,1146,28949.6,0.7,9501.8,0.6,27,5
GS2,1,2.0,2.0,2.0,22,2143,25046.1,0.6,7338.9,0.5,5,1
EPOCH,1,5.0,8.0,32.0,40,758,24553.1,0.6,9622.2,0.6,7,1
Nek5000,8,16.0,16.0,16.0,512,60,21348.1,0.5,10482.1,0.7,4,2
MITgcm,1,2.0,2.0,2.0,8,6894,20594.5,0.5,8355.2,0.6,15,2
GENE,1,1.0,20.0,20.0,80,69,17383.7,0.4,7275.9,0.5,6,2
CASINO,8,8.0,14.5,18.0,20,20,16371.9,0.4,4752.7,0.3,1,1
SIESTA,1,1.0,1.0,1.0,36,394,16023.4,0.4,4952.3,0.3,2,1
ChemShell,1,1.0,1.0,4.0,16,327,15225.4,0.4,5797.4,0.4,4,1
Hydro3D,1,2.0,5.0,16.0,282,109,14721.3,0.4,5244.8,0.3,3,2
iIMB,16,16.0,16.0,16.0,16,63,11635.1,0.3,2739.6,0.2,1,1
ludwig,1,4.0,16.0,64.0,1024,463,10372.6,0.3,4116.7,0.3,1,1
a.out,1,1.0,1.0,16.0,64,1633,9964.3,0.2,3584.3,0.2,7,5
Code_Saturne,8,32.0,64.0,64.0,64,65,9760.7,0.2,3673.0,0.2,3,2
NWChem,1,1.0,1.0,1.0,16,31330,6258.7,0.2,2193.3,0.1,8,5
ECOGEN,8,8.0,8.0,8.0,20,78,5874.4,0.1,2842.8,0.2,1,1
ONETEP,1,1.0,2.0,4.0,8,136,5700.0,0.1,1863.0,0.1,4,1
CRYSTAL,1,1.0,16.0,16.0,32,104,4912.3,0.1,1274.1,0.1,4,2
TPLS,1,1.0,4.0,4.0,50,154,4842.9,0.1,1785.4,0.1,3,1
HemeLB,4,4.0,4.0,8.0,32,44,2514.2,0.1,896.1,0.1,2,2
SU2,100,100.0,100.0,100.0,100,1,2400.8,0.1,1162.6,0.1,1,1
RMT,5,5.0,5.0,5.0,19,156,2061.1,0.1,691.7,0.0,4,1
HYDRA,1,4.0,4.0,4.0,40,50,1681.4,0.0,555.0,0.0,3,2
GAMESS,1,1.0,1.0,1.0,1,131,1632.7,0.0,545.6,0.0,1,1
PDNS3D,8,8.0,8.0,8.0,8,21,1287.8,0.0,583.6,0.0,1,1
WRF,1,3.0,3.0,3.0,3,10,1144.9,0.0,468.9,0.0,2,2
CESM,1,1.0,3.0,8.0,50,75,846.6,0.0,338.8,0.0,6,1
FDS,2,2.0,2.0,2.0,2,14,656.3,0.0,365.9,0.0,1,1
NAMD,2,2.0,4.0,4.0,4,25,466.2,0.0,224.3,0.0,3,3
Smilei,32,32.0,32.0,32.0,32,62,174.0,0.0,42.8,0.0,1,1
ptau3d,1,1.0,1.0,1.0,4,38,30.1,0.0,11.0,0.0,2,2
ABINIT,1,1.0,1.0,1.0,2,15,8.9,0.0,4.8,0.0,1,1
AxiSEM3D,1,1.0,1.0,1.2,2,4,1.9,0.0,0.8,0.0,1,1
Arm Forge,1,1.0,1.0,1.0,1,13,0.4,0.0,0.1,0.0,2,2
DL_POLY,4,4.0,4.0,4.0,4,5,0.3,0.0,0.1,0.0,1,1
BOUT++,6,6.0,6.0,6.0,6,3,0.3,0.0,0.1,0.0,1,1
PRECISE,1,1.0,1.0,1.0,1,9,0.1,0.0,0.0,0.0,1,1
