Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,4.0,128.0,512.0,524288,3791040,3803736.3,100.0,835,128
Unknown,1,1.0,4.0,4.0,131072,1417524,809246.1,21.3,416,93
VASP,1,512.0,512.0,512.0,15360,1075044,785850.6,20.7,137,14
Nektar++,1,128.0,640.0,4096.0,30720,608,349480.3,9.2,14,4
No srun,1,2.0,2.0,128.0,524288,109463,301067.1,7.9,642,107
Met Office UM,1,256.0,324.0,576.0,11200,46864,177517.5,4.7,41,7
GROMACS,1,32.0,44.0,256.0,8192,20764,171241.4,4.5,38,9
OpenFOAM,1,128.0,128.0,256.0,25600,4349,143329.1,3.8,54,23
SENGA,4,100.0,1500.0,8192.0,33500,132,143148.2,3.8,7,3
CP2K,1,128.0,128.0,128.0,6400,41699,134913.8,3.5,44,10
LAMMPS,1,128.0,128.0,128.0,524288,39546,113875.9,3.0,48,18
CASTEP,1,128.0,128.0,640.0,4096,72430,92006.6,2.4,36,6
PeleLMeX,128,128.0,256.0,1024.0,8192,283,62848.6,1.7,4,1
VAMPIRE,128,640.0,1024.0,1024.0,65536,798,61395.0,1.6,5,3
FHI aims,1,256.0,512.0,512.0,4096,22665,48043.8,1.3,25,5
OpenSBLI,25600,25600.0,25600.0,64000.0,131072,19,40315.9,1.1,3,3
Xcompact3d,1024,8192.0,8192.0,8192.0,131072,62,38053.8,1.0,4,4
NEMO,1,80.0,296.0,552.0,10080,3400,31721.9,0.8,27,5
Quantum Espresso,1,128.0,128.0,384.0,10240,2650,27797.4,0.7,32,9
Python,1,1.0,1.0,1.0,9216,55552,25913.1,0.7,48,23
EPOCH,128,1024.0,1024.0,1280.0,5120,1596,25602.9,0.7,7,1
ChemShell,1,128.0,256.0,256.0,12800,977,21672.8,0.6,11,3
Nek5000,1024,1024.0,1024.0,2048.0,65536,60,21356.3,0.6,4,2
GENE,1,128.0,128.0,128.0,10240,11511,17393.9,0.5,10,3
GS2,128,2560.0,2560.0,2560.0,2784,12321,16558.3,0.4,5,1
CASINO,256,256.0,464.0,576.0,2560,20,16371.9,0.4,1,1
MITgcm,1,126.0,240.0,240.0,1024,19862,15883.3,0.4,15,2
SIESTA,1,64.0,64.0,128.0,2304,404,15222.9,0.4,2,1
Hydro3D,14,144.0,600.0,2000.0,36040,109,14708.7,0.4,3,2
iIMB,128,128.0,128.0,128.0,128,63,11634.6,0.3,1,1
ludwig,8,32.0,256.0,512.0,8192,702,9818.9,0.3,1,1
Code_Saturne,1024,4096.0,8192.0,8192.0,8192,65,9758.0,0.3,3,2
a.out,1,32.0,32.0,2048.0,8192,1684,9367.3,0.2,9,7
NWChem,16,128.0,128.0,128.0,1024,825302,6108.2,0.2,8,5
ECOGEN,1024,1024.0,1024.0,1024.0,2560,78,5873.8,0.2,1,1
ONETEP,1,128.0,128.0,128.0,128,1279,5646.9,0.1,4,1
TPLS,128,128.0,512.0,512.0,6400,154,4843.7,0.1,3,1
CRYSTAL,12,96.0,512.0,512.0,1024,119,4610.7,0.1,4,2
HemeLB,64,128.0,256.0,1024.0,4096,46,2512.5,0.1,2,2
SU2,12800,12800.0,12800.0,12800.0,12800,1,2401.3,0.1,1,1
RMT,352,640.0,640.0,640.0,2432,156,2060.5,0.1,4,1
GAMESS,128,128.0,128.0,128.0,128,131,1632.7,0.0,1,1
PDNS3D,1024,1024.0,1024.0,1024.0,1024,21,1287.2,0.0,1,1
WRF,64,384.0,384.0,384.0,384,11,1144.2,0.0,2,2
CESM,1,128.0,384.0,1024.0,6400,75,843.7,0.0,6,1
FDS,248,248.0,248.0,248.0,248,14,656.3,0.0,1,1
NAMD,4,256.0,512.0,512.0,512,26,455.5,0.0,3,3
SBLI,512,1024.0,1024.0,1024.0,1024,50,332.8,0.0,1,1
Smilei,256,256.0,256.0,256.0,256,62,172.8,0.0,1,1
ptau3d,8,8.0,8.0,8.0,512,76,13.9,0.0,2,2
HYDRA,1,4.0,4.0,4.0,40,51,13.2,0.0,4,2
ABINIT,64,64.0,64.0,64.0,128,15,4.4,0.0,1,1
DL_POLY,64,512.0,512.0,512.0,512,6,3.9,0.0,2,1
AxiSEM3D,128,128.0,128.0,160.0,256,4,1.9,0.0,1,1
BOUT++,768,768.0,768.0,768.0,768,3,0.1,0.0,1,1
Arm Forge,1,1.0,1.0,1.0,128,125,0.0,0.0,8,6
PRECISE,5,8.0,8.0,8.0,8,9,0.0,0.0,1,1
