Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,0,8.0,24.0,82.0,5184,198970,4446538.9,100.0,1668789.6,100.0,927,133
Unidentified,0,10.0,32.0,75.0,5184,96253,1379988.9,31.0,485404.5,29.1,782,120
VASP,1,8.0,9.0,16.0,456,22679,608741.6,13.7,231278.1,13.9,138,16
GROMACS,1,8.0,10.0,32.0,100,8131,352340.4,7.9,169945.9,10.2,50,9
LAMMPS,1,4.0,20.0,26.0,1024,6459,218735.2,4.9,92001.5,5.5,76,26
CP2K,1,4.0,8.0,16.0,40,6405,177329.5,4.0,58876.2,3.5,53,11
Xcompact3d,1,256.0,256.0,384.0,1024,282,165460.9,3.7,61095.2,3.7,12,6
SENGA,1,125.0,125.0,144.0,144,236,145570.2,3.3,73103.4,4.4,4,2
OpenFOAM,1,8.0,16.0,32.0,60,1024,131921.3,3.0,49041.8,2.9,35,17
Python,1,8.0,30.0,50.0,512,4850,109059.8,2.5,35241.7,2.1,76,27
Met Office UM,1,21.0,148.0,148.0,196,28588,98426.9,2.2,31172.2,1.9,26,4
NEMO,1,68.0,68.0,68.0,87,2868,89023.1,2.0,31403.4,1.9,26,3
SPARTA,8,512.0,512.0,512.0,2048,107,84941.7,1.9,21462.4,1.3,1,1
MITgcm,1,2.0,5.0,15.0,15,7005,84328.5,1.9,38649.8,2.3,18,3
SU2,1,60.0,100.0,100.0,120,422,78428.5,1.8,28483.5,1.7,6,2
3DNS,3,139.0,206.0,206.0,393,55,72564.6,1.6,23898.0,1.4,3,1
Quantum Espresso,1,8.0,10.0,16.0,64,3440,61158.4,1.4,20565.6,1.2,22,7
CASTEP,1,8.0,14.0,50.0,64,2542,52224.0,1.2,18971.1,1.1,38,5
Nek5000,10,200.0,200.0,200.0,200,62,50957.0,1.1,19580.2,1.2,3,3
GENE,1,32.0,32.0,80.0,80,102,50075.1,1.1,20785.0,1.2,3,3
ONETEP,1,8.0,8.0,8.0,32,776,44717.4,1.0,16166.6,1.0,12,2
Nektar++,1,24.0,50.0,128.0,256,220,43442.5,1.0,15909.4,1.0,8,3
FHI aims,1,8.0,16.0,16.0,256,1054,42930.8,1.0,20706.0,1.2,15,3
iIMB,24,36.0,45.0,98.0,98,57,36923.8,0.8,13456.1,0.8,2,1
ChemShell,1,5.0,12.0,12.0,16,284,35459.8,0.8,13237.8,0.8,9,1
OSIRIS,96,96.0,96.0,96.0,96,24,27138.0,0.6,9387.3,0.6,2,2
Code_Saturne,6,32.0,32.0,64.0,96,153,26542.7,0.6,9385.3,0.6,6,3
Hydro3D,2,28.0,40.0,200.0,400,390,24687.9,0.6,8697.8,0.5,5,3
CRYSTAL,1,18.0,32.0,48.0,93,417,24394.9,0.5,6982.1,0.4,6,1
EDAMAME,1,11.0,11.0,11.0,50,274,20523.1,0.5,7445.2,0.4,2,1
HYDRA,1,256.0,512.0,512.0,512,422,18937.6,0.4,5525.8,0.3,7,5
Smilei,1,20.0,64.0,128.0,128,90,13110.3,0.3,3004.7,0.2,5,2
NWChem,1,2.0,5.0,8.0,32,438,12526.8,0.3,4523.8,0.3,9,3
ptau3d,1,200.0,200.0,200.0,512,133,10663.6,0.2,3045.0,0.2,2,1
NAMD,1,4.0,4.0,5.0,5,263,9138.7,0.2,4564.7,0.3,6,3
ECOGEN,2,32.0,32.0,32.0,32,17,7132.7,0.2,2459.0,0.1,1,1
WRF,1,3.0,3.0,8.0,8,170,5886.2,0.1,2069.8,0.1,6,4
CESM,1,8.0,40.0,40.0,40,281,5748.3,0.1,1926.4,0.1,6,1
HANDE,1,3.0,5.0,10.0,20,46,5698.5,0.1,1683.8,0.1,1,1
a.out,1,1.0,3.0,8.0,64,481,4459.3,0.1,1834.2,0.1,10,8
DL_POLY,1,100.0,100.0,100.0,100,98,2992.8,0.1,1409.1,0.1,4,3
SIESTA,1,1.0,10.0,15.0,32,238,2312.9,0.1,717.1,0.0,7,3
CASINO,1,8.0,10.0,10.0,10,33,2180.3,0.0,906.0,0.1,2,2
GS2,1,12.0,12.0,12.0,12,31,1898.1,0.0,721.1,0.0,1,1
EPOCH,10,64.0,64.0,64.0,64,30,1829.1,0.0,594.4,0.0,3,1
SBLI,1,1024.0,1024.0,1024.0,1024,214,1571.1,0.0,551.0,0.0,5,3
OpenSBLI,1,1024.0,1024.0,1024.0,1024,10,1433.8,0.0,499.7,0.0,3,2
PDNS3D,8,8.0,8.0,8.0,128,157,971.6,0.0,389.7,0.0,2,1
DL_MESO,1,1.0,1.0,1.0,1,290,774.3,0.0,320.1,0.0,2,1
RMT,1,19.0,19.0,19.0,19,130,354.1,0.0,116.6,0.0,2,1
Arm Forge,1,32.0,32.0,48.0,64,154,158.7,0.0,43.6,0.0,7,5
AxiSEM3D,1,1.0,1.0,1.0,4,51,123.9,0.0,37.7,0.0,1,1
FVCOM,1,1.0,1.0,1.0,1,7,16.9,0.0,6.8,0.0,2,1
TPLS,1,4.0,4.0,4.0,4,17,11.8,0.0,4.3,0.0,2,1
Elk,2,2.0,2.0,2.0,2,11,3.6,0.0,1.2,0.0,1,1
Amber,1,1.0,1.0,1.0,1,7,1.2,0.0,0.5,0.0,1,1
GPAW,2,2.0,2.0,2.0,2,1,0.0,0.0,0.0,0.0,1,1
Zacros,4,4.0,4.0,4.0,4,1,0.0,0.0,0.0,0.0,1,1
