Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,1.0,1.0,64.0,262144,1345274,2822560.1,100.0,831,121
Unknown,1,1.0,32.0,128.0,67500,358193,590178.1,20.9,378,89
VASP,1,64.0,128.0,256.0,25600,66595,379432.6,13.4,126,15
Met Office UM,26,1024.0,1024.0,1024.0,12544,28940,296292.6,10.5,33,2
No srun,1,2.0,128.0,384.0,131072,45045,212399.3,7.5,574,87
OpenFOAM,1,4.0,8.0,256.0,67500,5415,145116.7,5.1,49,17
GROMACS,1,1.0,128.0,512.0,12800,4500,139827.7,5.0,42,4
Python,1,1.0,1.0,1.0,36864,504301,121471.4,4.3,61,23
Nektar++,5,256.0,2560.0,4096.0,16640,614,114791.6,4.1,11,3
CP2K,1,121.0,128.0,192.0,64000,22314,111590.5,4.0,44,11
Code_Saturne,128,768.0,1024.0,2048.0,32768,190,86312.3,3.1,6,3
LAMMPS,1,128.0,128.0,256.0,262144,7235,77861.7,2.8,53,16
GENE,1,36.0,640.0,1536.0,10240,284,75298.4,2.7,10,2
CASTEP,1,1.0,4.0,16.0,4096,174583,49892.8,1.8,38,8
iIMB,128,128.0,2304.0,6400.0,10752,136,42752.5,1.5,3,2
SENGA,1500,1536.0,5120.0,5120.0,36848,40,40320.2,1.4,5,4
Quantum Espresso,1,512.0,512.0,1152.0,2048,15460,38961.5,1.4,17,6
PeleLMeX,128,512.0,512.0,512.0,4096,875,27783.4,1.0,4,1
VAMPIRE,1,32.0,32.0,512.0,2048,2272,27647.5,1.0,5,3
FHI aims,8,256.0,512.0,512.0,2816,2158,26454.6,0.9,19,3
ChemShell,1,1.0,4.0,128.0,5376,884,24522.8,0.9,16,4
RMT,256,2432.0,2432.0,2432.0,2432,361,24461.9,0.9,5,1
NEMO,1,1.0,1.0,55.0,10080,8920,21218.5,0.8,21,3
MITgcm,28,126.0,126.0,126.0,512,20040,15771.1,0.6,11,3
a.out,1,32.0,256.0,1024.0,5120,366,12241.3,0.4,7,6
CASINO,640,2560.0,2560.0,5120.0,5120,46,12106.3,0.4,1,1
Nek5000,5,15.0,64.0,1088.0,2560,175,10755.2,0.4,1,1
WRF,50,384.0,384.0,384.0,384,155,10629.7,0.4,4,2
EDAMAME,1331,1331.0,1331.0,1331.0,1331,115,9873.0,0.3,2,1
Xcompact3d,128,512.0,1024.0,1024.0,6144,259,9841.8,0.3,7,4
HYDRA,1,1.0,2.0,384.0,8192,271,7307.6,0.3,9,5
EPOCH,512,2048.0,2048.0,2048.0,4096,426,7289.4,0.3,5,1
ONETEP,8,8.0,8.0,8.0,384,66721,6287.0,0.2,7,2
OpenSBLI,384,4096.0,4096.0,4096.0,131072,57,5836.9,0.2,3,2
CRYSTAL,128,128.0,128.0,512.0,768,276,4718.3,0.2,3,2
BOUT++,768,768.0,1056.0,1344.0,1344,24,4506.4,0.2,1,1
NWChem,4,128.0,128.0,128.0,384,4699,4342.6,0.2,8,4
3DNS,6930,9617.5,12305.0,14992.5,17680,2,3863.6,0.1,1,1
CESM,1,1.0,1.0,128.0,1280,593,3604.0,0.1,9,2
GS2,256,256.0,1280.0,1536.0,2048,28,3594.4,0.1,3,2
ptau3d,32,68.0,80.0,160.0,800,12,3517.0,0.1,1,1
Hydro3D,9800,9800.0,9800.0,9800.0,9800,6,2437.6,0.1,1,1
SU2,128,512.0,512.0,512.0,8320,221,2182.1,0.1,2,1
NAMD,4,64.0,64.0,64.0,512,475,1438.4,0.1,5,5
OSIRIS,128,256.0,256.0,256.0,256,13,1187.8,0.0,1,1
FDS,248,248.0,248.0,384.0,384,23,1080.3,0.0,1,1
SBLI,1,1.0,1.0,1.0,1024,480,817.1,0.0,3,3
TPLS,4,256.0,512.0,512.0,4096,70,754.4,0.0,3,1
SIESTA,1,64.0,64.0,64.0,2304,57,703.7,0.0,4,3
DL_POLY,1,128.0,512.0,768.0,1152,114,680.7,0.0,3,2
Smilei,2,6.0,256.0,384.0,1024,60,384.5,0.0,3,1
Arm Forge,1,2.0,4.0,38.0,8192,92,111.5,0.0,6,6
HemeLB,32,128.0,256.0,256.0,2048,40,79.3,0.0,3,2
AxiSEM3D,256,256.0,256.0,256.0,256,35,19.7,0.0,1,1
FEniCS,160,160.0,160.0,160.0,160,2,5.8,0.0,1,1
ECOGEN,256,256.0,256.0,256.0,256,1,2.1,0.0,1,1
Zacros,512,512.0,512.0,512.0,512,5,1.2,0.0,1,1
