Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,1.0,1.0,4.0,9.0,2048.0,198433,3035847.6,100.0,1122705.9,100.0,816,118
Unidentified,1.0,1.0,2.0,4.0,1024.0,113837,1154427.7,38.0,400882.2,35.7,675,108
VASP,1.0,1.0,4.0,7.0,244.0,17079,356665.1,11.7,138484.0,12.3,121,15
Met Office UM,1.0,16.0,16.0,16.0,196.0,26353,195955.7,6.5,71577.2,6.4,22,2
GROMACS,1.0,1.0,4.0,6.0,100.0,1258,147134.3,4.8,72892.7,6.5,42,4
OpenFOAM,1.0,1.0,2.0,4.0,540.0,1564,136069.9,4.5,47488.5,4.2,45,16
Python,1.0,1.0,1.0,5.0,512.0,2989,127757.7,4.2,44655.6,4.0,56,22
CP2K,1.0,1.0,2.0,4.0,500.0,8154,108597.9,3.6,38683.9,3.4,44,11
Nektar++,1.0,2.0,20.0,32.0,130.0,604,104635.0,3.4,39410.9,3.5,11,3
Code_Saturne,1.0,7.5,8.0,16.0,256.0,176,76907.7,2.5,27348.2,2.4,6,3
GENE,1.0,1.0,5.0,16.0,80.0,281,71159.7,2.3,29293.7,2.6,10,2
LAMMPS,1.0,1.0,1.0,2.0,2048.0,4200,67545.9,2.2,27216.4,2.4,51,16
CASTEP,1.0,1.0,1.0,2.0,64.0,6193,56091.0,1.8,18109.8,1.6,38,8
iIMB,9.0,16.0,24.0,50.0,432.0,130,41747.0,1.4,14641.0,1.3,3,2
Quantum Espresso,1.0,4.0,4.0,9.0,32.0,4380,35879.0,1.2,14597.4,1.3,17,6
SENGA,12.0,12.0,40.0,40.0,288.0,36,31699.4,1.0,16521.2,1.5,5,4
VAMPIRE,1.0,1.0,1.0,4.0,16.0,1628,28836.7,0.9,13995.4,1.2,5,3
FHI aims,1.0,2.0,4.0,4.0,64.0,1017,27482.0,0.9,11338.1,1.0,19,3
PeleLMeX,1.0,4.0,4.0,4.0,32.0,790,27047.5,0.9,8187.1,0.7,4,1
MITgcm,1.0,2.0,2.0,2.0,4.0,2390,25949.1,0.9,9399.1,0.8,11,3
RMT,2.0,19.0,19.0,19.0,33.0,357,24241.4,0.8,8437.6,0.8,5,1
ONETEP,1.0,1.0,1.0,2.0,25.0,222,23210.1,0.8,7581.5,0.7,7,2
ChemShell,1.0,4.0,8.0,8.0,8.0,104,18130.5,0.6,6046.3,0.5,7,1
NEMO,1.0,8.0,9.0,10.0,125.0,704,16542.3,0.5,5407.6,0.5,19,2
a.out,1.0,2.0,8.0,8.0,40.0,246,12276.2,0.4,3842.1,0.3,7,6
CASINO,5.0,20.0,20.0,40.0,40.0,45,11883.9,0.4,4032.3,0.4,1,1
WRF,1.0,3.0,3.0,3.0,3.0,153,10386.5,0.3,4036.2,0.4,4,2
Nek5000,1.0,1.0,5.0,13.0,20.0,102,10230.2,0.3,4361.6,0.4,1,1
Xcompact3d,1.0,4.0,8.0,8.0,48.0,256,9554.8,0.3,3740.5,0.3,7,4
NAMD,1.0,4.0,4.0,4.0,4.0,451,9290.2,0.3,4970.6,0.4,5,5
EDAMAME,11.0,11.0,11.0,11.0,11.0,109,8948.7,0.3,3386.1,0.3,2,1
HYDRA,1.0,1.0,2.0,3.0,64.0,257,7649.8,0.3,2688.4,0.2,9,5
EPOCH,4.0,16.0,16.0,16.0,32.0,425,7278.8,0.2,2820.2,0.3,5,1
SBLI,1.0,1.0,8.0,32.0,1024.0,98,6657.3,0.2,2513.9,0.2,5,4
OpenSBLI,3.0,32.0,32.0,32.0,1024.0,57,5840.1,0.2,2194.2,0.2,3,2
BOUT++,6.0,6.0,10.0,14.0,14.0,24,4531.1,0.1,1706.8,0.2,1,1
CRYSTAL,1.0,4.0,12.0,12.0,53.0,79,4450.8,0.1,1764.4,0.2,3,2
NWChem,1.0,1.0,1.0,1.0,10.0,541,4420.6,0.1,1658.6,0.1,8,4
GS2,2.0,2.0,10.0,12.0,16.0,28,3594.9,0.1,1425.2,0.1,3,2
CESM,1.0,1.0,1.0,1.0,12.0,592,3561.5,0.1,1372.7,0.1,9,2
ptau3d,4.0,8.5,10.0,20.0,200.0,12,3558.8,0.1,1116.2,0.1,1,1
3DNS,139.0,139.0,139.0,139.0,139.0,1,3313.3,0.1,1046.6,0.1,1,1
Hydro3D,77.0,77.0,77.0,77.0,77.0,6,2437.5,0.1,952.2,0.1,1,1
SU2,1.0,2.0,4.0,5.0,65.0,85,2150.6,0.1,932.8,0.1,2,1
Smilei,1.0,2.0,3.0,4.0,8.0,60,1249.4,0.0,452.5,0.0,3,1
OSIRIS,16.0,32.0,32.0,32.0,32.0,13,1188.2,0.0,296.5,0.0,1,1
FDS,2.0,2.0,2.0,3.0,3.0,23,1080.3,0.0,585.0,0.1,1,1
TPLS,1.0,2.0,4.0,4.0,32.0,70,759.2,0.0,261.7,0.0,3,1
SIESTA,1.0,1.0,1.0,1.0,18.0,53,711.6,0.0,262.8,0.0,4,3
DL_POLY,1.0,1.0,4.0,6.0,9.0,114,680.8,0.0,193.6,0.0,3,2
Arm Forge,1.0,1.0,1.0,3.0,64.0,63,184.0,0.0,51.7,0.0,4,4
HemeLB,1.0,2.0,2.0,16.0,64.0,40,82.9,0.0,30.4,0.0,3,2
AxiSEM3D,2.0,2.0,2.0,2.0,2.0,35,20.0,0.0,8.3,0.0,1,1
ECOGEN,2.0,2.0,2.0,2.0,2.0,1,2.1,0.0,0.6,0.0,1,1
Zacros,4.0,4.0,4.0,4.0,4.0,5,1.2,0.0,0.3,0.0,1,1
