Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,Users,Projects
Overall,1,1.0,1.0,128.0,524288,3645902,3405862.2,100.0,889,132
VASP,1,256.0,512.0,1024.0,8192,457284,841757.0,24.7,148,17
Unknown,1,1.0,1.0,32.0,262144,1187931,522632.1,15.3,444,91
Met Office UM,1,256.0,324.0,1296.0,12544,69371,328121.3,9.6,51,3
LAMMPS,1,128.0,128.0,256.0,131072,12385,237879.5,7.0,53,22
CP2K,1,128.0,512.0,512.0,8192,47145,199056.1,5.8,59,12
GROMACS,1,1.0,512.0,512.0,6144,9691,187119.6,5.5,44,8
ChemShell,1,128.0,128.0,512.0,11136,1221,104103.1,3.1,20,4
OpenFOAM,1,128.0,256.0,512.0,12800,2471,103781.1,3.0,39,15
CASTEP,1,128.0,128.0,128.0,12800,242628,79384.1,2.3,54,9
MITgcm,1,126.0,126.0,200.0,1920,25169,78114.5,2.3,17,2
Code_Saturne,128,1920.0,4096.0,4096.0,262144,236,72443.2,2.1,7,4
FHI aims,1,64.0,128.0,256.0,4096,27947,65787.8,1.9,20,3
Xcompact3d,4,256.0,1024.0,4096.0,524288,441,56577.6,1.7,12,7
Quantum Espresso,1,512.0,512.0,896.0,2048,104209,55549.7,1.6,18,6
Python,1,1.0,1.0,1.0,9216,1373683,52485.8,1.5,67,29
3DNS,4,26244.0,26244.0,30512.0,50217,57,47363.7,1.4,3,1
NWChem,1,128.0,128.0,128.0,3840,45168,40929.3,1.2,14,5
Nektar++,16,128.0,512.0,2048.0,12800,868,38849.5,1.1,8,2
NEMO,1,1.0,16.0,96.0,7232,23324,36368.6,1.1,51,4
SENGA,1,128.0,1024.0,13560.0,37500,122,34241.9,1.0,6,3
ONETEP,1,2.0,4.0,80.0,1024,2572,26459.6,0.8,9,2
BOUT++,768,768.0,1344.0,1344.0,1344,141,26268.4,0.8,1,1
SPARTA,1024,1024.0,1024.0,65536.0,65536,9,25916.2,0.8,1,1
EDAMAME,64,64.0,128.0,1331.0,8000,342,22545.6,0.7,2,1
GENE,36,256.0,256.0,768.0,10240,141,15487.3,0.5,3,2
Hydro3D,200,400.0,2640.0,3200.0,16000,215,11089.9,0.3,3,3
CESM,64,512.0,512.0,512.0,4096,2273,9556.2,0.3,7,1
SU2,1,128.0,128.0,512.0,7680,1190,9421.2,0.3,6,2
OSIRIS,12288,12288.0,12288.0,12288.0,12288,17,9140.6,0.3,2,2
iIMB,768,4608.0,4608.0,4608.0,10752,44,8952.9,0.3,2,2
CRYSTAL,1,128.0,128.0,128.0,32768,816,8358.0,0.2,10,5
a.out,1,2.0,16.0,256.0,2560,320,7427.1,0.2,14,9
OpenSBLI,128,384.0,384.0,4096.0,131072,55,6631.4,0.2,2,2
WRF,64,320.0,320.0,384.0,384,219,6198.0,0.2,5,3
RMT,512,640.0,640.0,640.0,2432,184,5672.6,0.2,3,1
NAMD,16,64.0,80.0,512.0,512,474,4222.0,0.1,5,4
HYDRA,1,1.0,1.0,10.0,12800,469,3333.4,0.1,6,4
CASINO,1,32.0,256.0,384.0,2560,113,3173.3,0.1,1,1
EPOCH,1,128.0,128.0,512.0,16384,195,2215.3,0.1,4,1
TPLS,64,128.0,256.0,512.0,2048,37,1933.2,0.1,2,2
Nek5000,256,256.0,512.0,768.0,768,38,1811.4,0.1,1,1
SIESTA,1,128.0,128.0,128.0,6656,1111,1488.2,0.0,5,3
GS2,32,128.0,128.0,128.0,1792,1272,1403.1,0.0,2,1
DL_MESO,8,64.0,64.0,64.0,128,370,1295.4,0.0,2,1
SBLI,1,128.0,128.0,128.0,8192,283,914.6,0.0,3,2
PDNS3D,512,1024.0,1024.0,1024.0,1024,99,790.9,0.0,2,1
FVCOM,1,128.0,128.0,256.0,896,44,600.2,0.0,2,1
ptau3d,1,128.0,128.0,128.0,1024,72,343.8,0.0,3,3
DL_POLY,8,64.0,64.0,64.0,4096,644,185.1,0.0,3,3
HemeLB,1,2.5,69.0,608.0,2048,30,135.1,0.0,3,1
Arm Forge,2,8.0,8.0,128.0,2048,218,106.2,0.0,8,7
Smilei,8,16.0,16.0,16.0,2048,275,55.4,0.0,3,1
Elk,4,4.0,4.0,64.0,512,71,48.9,0.0,2,2
Fluidity,8,576.0,1024.0,6144.0,8192,7,39.6,0.0,1,1
AxiSEM3D,4,48.0,48.0,96.0,480,140,32.9,0.0,1,1
GPAW,32,32.0,48.0,64.0,64,4,24.0,0.0,1,1
Amber,16,128.0,640.0,1408.0,2048,45,22.0,0.0,1,1
ECOGEN,256,256.0,256.0,256.0,256,2,17.7,0.0,1,1
