Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,0,1.0,2.0,8.0,4096,341520,4140035.5,100.0,1530880.8,100.0,920,134
Unidentified,0,1.0,1.0,4.0,4096,162713,1417445.8,34.2,507370.0,33.1,782,124
VASP,1,2.0,4.0,7.0,800,44403,821121.6,19.8,308343.3,20.1,148,17
CP2K,1,4.0,8.0,8.0,64,12539,210630.7,5.1,69544.8,4.5,58,12
LAMMPS,1,1.0,1.0,2.0,1024,9803,206048.7,5.0,87414.7,5.7,50,21
GROMACS,1,3.0,4.0,6.0,48,4026,189945.3,4.6,93417.0,6.1,44,8
Met Office UM,1,4.0,6.0,21.0,196,61159,150278.0,3.6,52268.2,3.4,28,2
Python,1,1.0,7.0,32.0,512,3982,137290.8,3.3,40964.5,2.7,60,28
OpenFOAM,1,1.0,4.0,8.0,100,1548,102553.0,2.5,37733.8,2.5,32,15
MITgcm,1,2.0,2.0,2.0,15,9926,86298.5,2.1,33886.1,2.2,17,2
CASTEP,1,1.0,1.0,2.0,548,5946,81802.8,2.0,30226.8,2.0,54,9
Code_Saturne,1,15.0,32.0,32.0,2048,236,72314.3,1.7,25040.1,1.6,7,4
FHI aims,1,4.0,8.0,8.0,32,3792,59034.2,1.4,23276.0,1.5,18,3
Xcompact3d,1,2.0,8.0,32.0,4096,399,56441.0,1.4,21616.1,1.4,12,7
Quantum Espresso,1,1.0,4.0,7.0,64,9133,56150.1,1.4,22998.3,1.5,18,6
3DNS,18,206.0,206.0,239.0,393,55,44187.0,1.1,15081.9,1.0,3,1
NEMO,1,1.0,8.0,12.0,87,1663,41562.7,1.0,11889.0,0.8,49,4
NWChem,1,2.0,2.0,4.0,30,774,40965.6,1.0,13861.2,0.9,14,5
Nektar++,1,1.0,4.0,16.0,100,868,39286.0,0.9,14277.0,0.9,8,2
SENGA,1,1.0,8.0,106.0,293,118,34288.1,0.8,16565.1,1.1,6,3
ChemShell,1,2.0,4.0,10.0,16,293,32551.7,0.8,11141.3,0.7,11,1
ONETEP,1,3.0,5.0,8.0,32,563,31045.0,0.7,10840.2,0.7,9,2
BOUT++,6,6.0,14.0,14.0,14,141,26384.4,0.6,9926.2,0.6,1,1
SPARTA,8,8.0,8.0,512.0,512,9,25901.8,0.6,7324.5,0.5,1,1
EDAMAME,1,1.0,1.0,11.0,63,342,23105.2,0.6,8282.1,0.5,2,1
HYDRA,1,1.0,1.0,5.0,100,469,21574.6,0.5,7329.4,0.5,6,4
GENE,1,2.0,2.0,6.0,80,141,15492.5,0.4,6244.5,0.4,3,2
CRYSTAL,1,2.0,5.0,18.0,1024,309,11138.5,0.3,3466.7,0.2,9,4
Hydro3D,2,4.0,21.0,25.0,125,215,11090.1,0.3,3992.5,0.3,3,3
CESM,1,8.0,8.0,8.0,64,2273,9714.4,0.2,3443.7,0.2,7,1
SU2,1,1.0,3.0,5.0,60,512,9506.1,0.2,3780.1,0.2,6,2
iIMB,6,25.0,36.0,84.0,84,29,9151.2,0.2,3429.1,0.2,2,2
OSIRIS,96,96.0,96.0,96.0,96,17,9141.9,0.2,3375.3,0.2,2,2
NAMD,1,4.0,4.0,5.0,5,474,8894.0,0.2,4712.0,0.3,5,4
WRF,1,3.0,3.0,3.0,8,219,8007.7,0.2,2824.3,0.2,5,3
SBLI,1,1.0,1.0,4.0,1024,335,7536.6,0.2,2818.5,0.2,4,3
a.out,1,2.0,2.0,4.0,20,202,7464.0,0.2,2917.1,0.2,9,8
OpenSBLI,1,3.0,3.0,32.0,1024,55,6635.4,0.2,2477.0,0.2,2,2
RMT,4,5.0,5.0,5.0,19,184,5673.5,0.1,1969.1,0.1,3,1
CASINO,1,1.0,2.0,4.0,32,113,3190.5,0.1,1692.3,0.1,1,1
SIESTA,1,1.0,15.0,16.0,52,194,2798.0,0.1,849.1,0.1,5,3
EPOCH,1,1.0,1.0,6.0,128,187,2213.3,0.1,707.5,0.0,4,1
TPLS,1,1.0,2.0,4.0,16,37,1934.4,0.0,733.3,0.0,2,2
Nek5000,2,2.0,4.0,6.0,6,38,1811.5,0.0,770.1,0.1,1,1
GS2,1,10.0,10.0,13.0,14,64,1629.4,0.0,549.2,0.0,2,1
DL_MESO,1,1.0,1.0,1.0,1,220,1532.1,0.0,625.9,0.0,2,1
Smilei,1,2.0,2.0,2.0,16,275,886.1,0.0,312.1,0.0,3,1
PDNS3D,4,8.0,8.0,8.0,8,99,792.9,0.0,330.8,0.0,2,1
FVCOM,1,1.0,1.0,2.0,7,42,600.4,0.0,236.0,0.0,2,1
ptau3d,1,1.0,1.0,1.0,256,71,560.0,0.0,149.5,0.0,3,3
DL_POLY,1,1.0,1.0,1.0,32,23,267.7,0.0,70.1,0.0,2,2
AxiSEM3D,1,1.0,1.0,1.0,64,139,217.8,0.0,57.3,0.0,1,1
Elk,1,1.0,1.0,1.0,4,38,150.2,0.0,43.0,0.0,2,2
Arm Forge,1,1.0,2.0,8.0,16,82,142.9,0.0,48.7,0.0,7,7
HemeLB,1,1.0,1.0,4.8,16,30,135.8,0.0,64.4,0.0,3,1
GPAW,1,1.0,1.0,1.0,1,4,72.1,0.0,21.5,0.0,1,1
Fluidity,1,4.5,8.0,48.0,64,7,39.2,0.0,11.8,0.0,1,1
Amber,1,1.0,5.0,11.0,16,45,25.8,0.0,11.9,0.0,1,1
ECOGEN,2,2.0,2.0,2.0,2,2,17.7,0.0,5.8,0.0,1,1
