Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,1,8.0,18.0,80.0,2048,332962,4189454.7,100.0,1589349.7,100.0,892,116
Unidentified,1,8.0,40.0,124.0,2048,165428,1282284.3,30.6,452784.4,28.5,759,112
VASP,1,4.0,8.0,10.0,128,55787,724107.4,17.3,274125.4,17.2,152,16
Nektar++,1,40.0,64.0,100.0,180,776,296316.4,7.1,112215.6,7.1,17,5
CP2K,1,6.0,9.0,16.0,64,10845,243172.0,5.8,86870.9,5.5,61,13
GROMACS,1,4.0,12.0,22.0,128,14018,213897.5,5.1,98422.2,6.2,48,7
SENGA,1,64.0,262.0,262.0,262,192,192378.8,4.6,101801.5,6.4,7,3
LAMMPS,1,2.0,10.0,30.0,1024,11273,166120.7,4.0,65177.0,4.1,55,18
OpenFOAM,1,8.0,20.0,32.0,200,1625,137256.2,3.3,53404.7,3.4,48,16
Python,1,54.0,128.0,128.0,200,6700,106223.1,2.5,39052.0,2.5,56,22
Xcompact3d,1,256.0,256.0,256.0,256,91,92933.1,2.2,35169.3,2.2,5,4
FHI aims,1,3.0,4.0,8.0,48,4519,80071.2,1.9,30800.2,1.9,28,5
CASTEP,1,2.0,4.0,10.0,64,8047,67917.5,1.6,26988.9,1.7,43,7
EDAMAME,11,1340.0,1340.0,1340.0,1340,55,52565.6,1.3,17930.7,1.1,2,1
OpenSBLI,500,500.0,500.0,500.0,1024,15,45083.3,1.1,14742.6,0.9,2,2
MITgcm,1,2.0,2.0,2.0,3,7573,36680.3,0.9,13240.0,0.8,10,2
iIMB,16,18.0,18.0,72.0,72,76,34794.5,0.8,13645.5,0.9,1,1
Met Office UM,1,8.0,9.0,18.0,196,5686,33791.1,0.8,12346.3,0.8,25,6
GENE,1,28.0,64.0,64.0,80,555,33508.4,0.8,14012.9,0.9,10,2
NEMO,1,10.0,50.0,89.0,125,1529,33189.6,0.8,10523.2,0.7,23,3
PeleLMeX,1,4.0,16.0,32.0,64,362,30663.7,0.7,11398.3,0.7,3,1
ONETEP,1,2.0,2.0,4.0,8,304,30479.8,0.7,9820.7,0.6,5,2
Code_Saturne,1,32.0,32.0,36.0,128,146,26467.9,0.6,10167.0,0.6,9,4
Nek5000,1,512.0,512.0,512.0,512,56,25967.1,0.6,12409.4,0.8,3,2
GS2,1,20.0,20.0,20.0,32,883,22308.3,0.5,6554.6,0.4,5,2
EPOCH,1,9.0,10.0,18.0,125,841,21739.9,0.5,7831.6,0.5,7,2
Quantum Espresso,1,3.0,3.0,4.0,50,3901,19683.8,0.5,7063.6,0.4,33,10
Smilei,1,16.0,25.0,64.0,64,697,17113.7,0.4,5443.0,0.3,3,1
CRYSTAL,1,16.0,36.0,50.0,51,180,16276.1,0.4,5143.0,0.3,4,2
ChemShell,1,1.0,4.0,8.0,16,437,15463.6,0.4,6737.5,0.4,5,2
Hydro3D,1,16.0,574.0,574.0,574,86,11843.7,0.3,4146.9,0.3,3,3
CESM,1,12.0,12.0,50.0,50,305,11266.2,0.3,4109.0,0.3,4,1
SIESTA,1,18.0,18.0,20.0,25,407,9481.4,0.2,3331.7,0.2,4,2
HYDRA,1,17.0,100.0,100.0,100,36,7582.5,0.2,2570.1,0.2,5,3
VAMPIRE,1,8.0,8.0,8.0,16,317,7215.3,0.2,3279.3,0.2,5,3
ptau3d,4,100.0,100.0,200.0,200,14,6057.1,0.1,1639.4,0.1,1,1
NWChem,1,1.0,1.0,3.0,8,27113,6037.7,0.1,2109.7,0.1,9,5
CASINO,1,10.0,20.0,40.0,40,61,4953.7,0.1,1761.3,0.1,2,2
RMT,1,5.0,8.0,19.0,20,258,4831.8,0.1,1648.4,0.1,6,1
WRF,1,3.0,3.0,3.0,8,82,4363.3,0.1,1639.7,0.1,4,1
NAMD,1,4.0,4.0,5.0,12,176,4127.8,0.1,2197.5,0.1,7,5
a.out,1,16.0,16.0,32.0,32,563,2000.1,0.0,665.7,0.0,9,6
TPLS,4,16.0,16.0,16.0,16,17,1900.2,0.0,671.0,0.0,2,1
DL_POLY,1,4.0,6.0,8.0,9,129,1716.8,0.0,490.9,0.0,4,2
FDS,2,2.0,2.0,2.0,2,34,1480.8,0.0,818.4,0.1,1,1
ECOGEN,2,4.0,8.0,8.0,8,24,1295.6,0.0,613.5,0.0,2,2
PDNS3D,8,8.0,8.0,8.0,8,69,1274.4,0.0,543.0,0.0,2,1
SU2,10,50.0,50.0,50.0,100,3,1186.8,0.0,576.0,0.0,1,1
ABINIT,1,10.0,20.0,20.0,20,19,1007.8,0.0,262.6,0.0,1,1
Amber,24,24.0,24.0,24.0,24,1,519.2,0.0,162.4,0.0,1,1
Arm Forge,1,1.0,1.0,1.0,16,254,292.4,0.0,69.8,0.0,8,7
ludwig,1,4.0,16.0,32.0,128,108,229.4,0.0,102.1,0.0,1,1
BOUT++,6,6.0,14.0,14.0,14,5,172.5,0.0,65.8,0.0,1,1
HemeLB,1,8.0,18.0,32.0,64,152,102.6,0.0,32.1,0.0,2,2
DL_MESO,2,2.0,2.0,2.0,2,7,31.6,0.0,9.2,0.0,1,1
AxiSEM3D,1,1.0,1.0,2.0,2,78,27.1,0.0,11.7,0.0,1,1
COSA,1,1.0,1.0,1.0,1,10,1.2,0.0,0.3,0.0,1,1
PRECISE,1,1.0,1.0,1.0,1,36,0.4,0.0,0.1,0.0,1,1
CloverLeaf,4,4.0,4.0,4.0,4,1,0.3,0.0,0.1,0.0,1,1
