Software,Min,Q1,Median,Q3,Max,Jobs,Nodeh,PercentUse,kWh,PercentEnergy,Users,Projects
Overall,0,10.0,60.0,540.0,4096,194800,4749067.5,100.0,1553979.6,100.0,764,122
Unidentified,0,16.0,132.0,560.0,3500,99062,1866675.9,39.3,575426.7,37.0,639,108
VASP,1,6.0,10.0,64.0,950,38806,722480.0,15.2,254850.1,16.4,120,11
Python,1,512.0,540.0,600.0,852,1929,448007.4,9.4,52767.5,3.4,44,20
GROMACS,1,32.0,150.0,792.0,1584,2426,312635.5,6.6,117922.6,7.6,29,8
CASTEP,1,8.0,32.0,32.0,250,9702,185950.7,3.9,61662.3,4.0,38,7
CP2K,1,4.0,8.0,16.0,120,4563,154681.5,3.3,57527.3,3.7,49,11
SENGA,1,105.0,128.0,144.0,192,92,144343.7,3.0,75981.3,4.9,5,5
LAMMPS,1,2.0,4.0,20.0,1024,5748,127943.0,2.7,54740.6,3.5,51,19
Xcompact3d,1,64.0,64.0,64.0,2048,246,86065.2,1.8,32082.8,2.1,14,7
ONETEP,1,12.0,16.0,22.0,40,438,68024.6,1.4,26069.6,1.7,9,2
Quantum Espresso,1,8.0,32.0,32.0,752,6283,65878.2,1.4,29872.7,1.9,16,7
3DNS,16,91.0,239.0,393.0,393,74,65797.6,1.4,26265.7,1.7,2,1
OpenFOAM,1,4.0,8.0,18.0,50,832,54891.0,1.2,20253.7,1.3,25,13
GENE,1,64.0,64.0,80.0,320,367,48238.7,1.0,21442.7,1.4,4,3
iIMB,6,24.0,30.0,30.0,30,152,48064.3,1.0,18917.6,1.2,2,2
Nektar++,1,14.0,30.0,100.0,100,548,39833.3,0.8,15776.6,1.0,7,2
Met Office UM,1,36.0,50.0,50.0,196,3736,39751.6,0.8,12883.8,0.8,23,3
NEMO,1,68.0,68.0,68.0,87,1139,31758.8,0.7,10772.8,0.7,18,2
FHI aims,1,2.0,16.0,32.0,64,12839,29468.5,0.6,9949.6,0.6,15,3
SBLI,1,1024.0,1024.0,1024.0,1024,151,27980.3,0.6,12114.5,0.8,4,3
OpenSBLI,32,1024.0,1024.0,1024.0,1024,102,27921.0,0.6,12093.3,0.8,2,2
RMT,1,19.0,19.0,19.0,19,338,23217.5,0.5,8062.3,0.5,3,1
ChemShell,1,4.0,6.0,8.0,20,267,22221.0,0.5,9559.1,0.6,7,2
NWChem,1,2.0,6.0,10.0,18,461,19528.8,0.4,6729.4,0.4,7,5
MITgcm,1,1.0,1.0,3.0,14,1768,17854.0,0.4,7173.5,0.5,10,3
CRYSTAL,1,4.0,4.0,9.0,4096,642,16190.7,0.3,5686.5,0.4,5,3
a.out,1,7.0,8.0,20.0,128,354,15742.5,0.3,5496.1,0.4,9,7
EPOCH,1,18.0,64.0,64.0,64,250,13617.4,0.3,4762.0,0.3,5,1
GS2,1,24.0,36.0,36.0,36,245,13038.4,0.3,5531.0,0.4,4,2
Code_Saturne,1,16.0,16.0,16.0,128,68,10963.4,0.2,4315.4,0.3,5,3
Smilei,1,8.0,128.0,128.0,128,247,7642.8,0.2,2083.4,0.1,3,1
TPLS,1,32.0,32.0,32.0,32,19,6924.4,0.1,2324.2,0.1,2,2
EDAMAME,1,4.0,4.0,27.0,27,130,5578.7,0.1,2182.5,0.1,2,1
ptau3d,1,30.0,30.0,140.0,140,47,2411.7,0.1,734.9,0.0,2,1
CESM,1,1.0,1.0,4.0,16,410,1418.4,0.0,477.7,0.0,16,2
SIESTA,1,12.0,12.0,12.0,12,47,1418.4,0.0,472.5,0.0,3,1
CASINO,8,8.0,8.0,8.0,8,6,868.5,0.0,353.6,0.0,1,1
Nek5000,2,10.0,10.0,10.0,20,80,800.5,0.0,342.7,0.0,1,1
NAMD,4,4.0,4.0,4.0,4,26,317.1,0.0,124.8,0.0,1,1
HANDE,1,1.0,2.0,3.0,3,6,264.4,0.0,72.8,0.0,1,1
R-matrix,1,21.0,40.0,200.0,200,12,193.4,0.0,58.7,0.0,1,1
HemeLB,1,6.0,16.0,16.0,16,15,147.3,0.0,79.7,0.0,1,1
WRF,1,1.0,1.0,2.0,40,42,85.4,0.0,31.1,0.0,3,2
DL_MESO,1,1.0,1.0,1.0,1,36,73.9,0.0,24.8,0.0,1,1
HYDRA,1,1.0,1.0,1.0,20,42,45.1,0.0,10.5,0.0,5,5
AxiSEM3D,1,1.0,1.0,1.0,1,34,21.2,0.0,6.6,0.0,1,1
Arm Forge,1,2.0,2.0,2.0,16,51,9.3,0.0,2.3,0.0,6,6
UKRmol+,1,8.0,8.0,8.0,10,17,2.9,0.0,0.7,0.0,1,1
GPAW,1,1.0,1.0,1.0,1,5,0.4,0.0,0.1,0.0,1,1
FVCOM,1,1.0,1.0,1.0,1,2,0.1,0.0,0.0,0.0,1,1
